invoice_id,vendor_id,vendor_name,contract_id,po_number,invoice_date,due_date,category,description,base_amount,gst_rate,gst_amount,total_amount,tds_rate,tds_amount,discount_amount,late_penalty,net_payable,amount_paid,invoice_status,payment_status,payment_method,payment_date,days_to_payment,days_overdue,approval_date,verified_by,rejection_reason,num_line_items,three_way_match,fraud_risk_score,fraud_flag,outstanding_amount
INV00236,VEN01865,Vendor 1865,CONT00363,PO5819,2024-01-29,2024-03-14,Emergency Work,Emergency Work - As per contract terms,6553309.42,28,1834926.64,8388236.05,10,655330.94,0,0.0,7732905.11,4268989.39,Partially Paid,Partially Paid,Demand Draft,2024-04-02,64.0,0,2024-02-05,,None,5,Partial Match,0.161,No,3463915.7200000007
INV00237,VEN00283,Vendor 283,CONT00846,PO3173,2024-04-30,2024-06-29,Reimbursement,Material supply and installation,4373183.96,28,1224491.51,5597675.47,1,43731.84,0,1007581.58,6561525.21,0.0,Under Review,Overdue,,,,557,,,None,11,Mismatch,0.6266,No,6561525.21
INV00238,VEN01422,Vendor 1422,CONT01305,PO1414,2025-02-10,2025-03-12,Overtime Charges,Equipment rental charges,2661664.65,28,745266.1,3406930.75,5,133083.23,0,340693.08,3614540.6,0.0,Verified,Overdue,,,,301,,Finance Manager,None,13,Partial Match,0.2486,No,3614540.6
INV00239,VEN00410,Vendor 410,CONT00547,PO4675,2025-07-26,2025-09-24,Change Order Payment,Professional services - Change Order Payment,427721.82,12,51326.62,479048.43,1,4277.22,0,14371.45,489142.67,0.0,Verified,Overdue,,,,105,,Contract Administrator,None,14,Mismatch,0.5705,No,489142.67
INV00240,VEN01632,Vendor 1632,CONT01636,PO8259,2024-01-25,2024-03-25,Emergency Work,Material supply and installation,4669181.65,18,840452.7,5509634.35,5,233459.08,0,0.0,5276175.26,4130805.24,Partially Paid,Partially Paid,Bank Transfer,2024-03-23,58.0,0,2024-02-04,,None,4,Matched,0.1823,No,1145370.0199999996
INV00241,VEN01444,Vendor 1444,CONT01454,PO7180,2024-03-14,2024-05-13,Overtime Charges,Services rendered - Overtime Charges,3823025.15,5,191151.26,4014176.4,1,38230.25,0,0.0,3975946.15,3975946.15,Paid,Paid,NEFT,2024-06-29,107.0,0,2024-03-17,Procurement Head,None,3,Matched,0.0857,No,0.0
INV00242,VEN01140,Vendor 1140,CONT00542,,2025-08-26,2025-10-10,Maintenance Charges,Professional services - Maintenance Charges,5084677.04,18,915241.87,5999918.91,1,50846.77,0,119998.38,6069070.52,0.0,Submitted,Overdue,,,,89,,,None,10,,0.1865,No,6069070.52
INV00243,VEN01261,Vendor 1261,CONT01727,PO3611,2024-02-29,2024-04-29,Equipment Rental,Progress billing - Month 4,13252402.7,0,0.0,13252402.7,2,265048.05,0,2650480.54,15637835.18,0.0,Verified,Overdue,,,,618,,Finance Manager,None,9,Partial Match,0.235,No,15637835.18
INV00244,VEN00716,Vendor 716,CONT00454,PO4994,2025-06-02,2025-08-01,Material Supply,Professional services - Material Supply,1483003.79,28,415241.06,1898244.85,10,148300.38,0,0.0,1749944.47,0.0,Disputed,Under Review,,,,0,,,Missing Documents,8,Matched,0.5007,No,1749944.47
INV00245,VEN01876,Vendor 1876,CONT01631,PO4154,2025-09-12,2025-12-11,Retention Release,Labor charges for project work,1772730.47,28,496364.53,2269095.01,2,35454.61,0,0.0,2233640.4,0.0,Verified,Overdue,,,,27,,Finance Manager,None,8,Partial Match,0.1028,No,2233640.4
INV00246,VEN01942,Vendor 1942,CONT00197,PO1389,2025-07-19,2025-08-18,Change Order Payment,Equipment rental charges,351650.81,5,17582.54,369233.35,5,17582.54,0,14769.33,366420.14,0.0,Approved,Overdue,,,,142,2025-07-21,Procurement Head,None,11,Partial Match,0.1793,No,366420.14
INV00247,VEN00151,Vendor 151,CONT00112,PO7381,2025-07-08,2025-09-06,Professional Services,Equipment rental charges,419728.69,12,50367.44,470096.14,5,20986.43,0,0.0,449109.7,0.0,Cancelled,Rejected,,,,0,,,None,7,,0.1347,No,449109.7
INV00248,VEN01096,Vendor 1096,CONT00013,PO2417,2024-03-21,2024-04-20,Overtime Charges,Material supply and installation,704825.84,0,0.0,704825.84,2,14096.52,0,140965.17,831694.49,0.0,Verified,Overdue,,,,627,,Procurement Head,None,13,Partial Match,0.2641,No,831694.49
INV00249,VEN00810,Vendor 810,CONT01684,PO1684,2024-03-01,2024-03-31,Equipment Rental,Professional services - Equipment Rental,148939.58,18,26809.12,175748.7,10,14893.96,0,0.0,160854.74,160854.74,Paid,Paid,IMPS,2024-04-08,38.0,0,2024-03-10,Site Engineer,None,1,Matched,0.1145,No,0.0
INV00250,VEN00808,Vendor 808,CONT01101,PO5140,2024-06-25,2024-07-25,Retention Release,Progress billing - Month 11,383643.72,12,46037.25,429680.96,1,3836.44,0,0.0,425844.53,0.0,Cancelled,Rejected,,,,0,,,None,3,,0.0389,No,425844.53
INV00251,VEN00372,Vendor 372,CONT01375,PO4234,2024-06-05,2024-07-05,Reimbursement,Material supply and installation,19851146.34,28,5558320.98,25409467.31,5,992557.32,0,4573704.12,28990614.11,0.0,Verified,Overdue,,,,551,,Finance Manager,None,11,Mismatch,0.5827,No,28990614.11
INV00252,VEN01375,Vendor 1375,CONT01343,PO6971,2025-05-11,2025-06-10,Retention Release,Material supply and installation,4550533.66,12,546064.04,5096597.7,5,227526.68,0,0.0,4869071.01,0.0,Disputed,Under Review,,,,0,,,Price Mismatch,12,Partial Match,0.5255,No,4869071.01
INV00253,VEN00642,Vendor 642,CONT00505,PO3879,2025-05-25,2025-08-23,Retention Release,Material supply and installation,7014587.49,12,841750.5,7856337.98,5,350729.37,0,0.0,7505608.61,0.0,Disputed,Under Review,,,,0,,,Duplicate Invoice,8,Mismatch,1.0,Yes,7505608.61
INV00254,VEN01104,Vendor 1104,CONT00403,,2025-04-12,2025-05-12,Emergency Work,Emergency Work - As per contract terms,58383.63,28,16347.42,74731.05,0,0.0,0,0.0,74731.05,0.0,Cancelled,Rejected,,,,0,,,None,15,,0.0521,No,74731.05
INV00255,VEN01831,Vendor 1831,CONT01106,PO1173,2024-09-10,2024-10-25,Material Supply,Services rendered - Material Supply,4511468.95,28,1263211.31,5774680.25,2,90229.38,0,0.0,5684450.87,0.0,Rejected,Rejected,,,,0,,,Duplicate Invoice,7,,0.7021,No,5684450.87
INV00256,VEN01652,Vendor 1652,CONT01258,PO4796,2024-02-06,2024-03-22,Overtime Charges,Work completion for Overtime Charges,2507992.0,5,125399.6,2633391.6,10,250799.2,0,0.0,2382592.4,0.0,Rejected,Rejected,,,,0,,,Duplicate Invoice,4,,0.4865,No,2382592.4
INV00257,VEN00088,Vendor 88,CONT01370,PO7171,2025-06-09,2025-08-08,Labor Charges,Material supply and installation,2545895.52,0,0.0,2545895.52,0,0.0,0,0.0,2545895.52,895168.71,Partially Paid,Partially Paid,IMPS,2025-09-05,88.0,0,2025-06-18,,None,10,Mismatch,0.3932,No,1650726.81
INV00258,VEN01840,Vendor 1840,CONT01712,PO9430,2025-10-19,2025-12-18,Labor Charges,Progress billing - Month 9,37831940.36,18,6809749.27,44641689.63,2,756638.81,0,0.0,43885050.82,23848487.46,Partially Paid,Partially Paid,Bank Transfer,2026-01-12,85.0,0,2025-10-22,,None,8,Mismatch,0.2862,No,20036563.36
INV00259,VEN00323,Vendor 323,CONT00742,PO1367,2024-04-30,2024-05-30,Change Order Payment,Progress billing - Month 4,415027.68,0,0.0,415027.68,5,20751.38,0,0.0,394276.3,0.0,Disputed,Under Review,,,,0,,,Duplicate Invoice,11,Matched,0.8556,Yes,394276.3
INV00260,VEN01290,Vendor 1290,CONT01050,PO8723,2025-11-27,2026-01-11,Progress Payment,Material supply and installation,465101.09,28,130228.31,595329.4,5,23255.05,0,0.0,572074.34,0.0,Submitted,Pending,,,,0,,,None,2,Partial Match,0.0341,No,572074.34
INV00261,VEN01701,Vendor 1701,CONT00842,PO1271,2024-05-01,2024-06-15,Overtime Charges,Services rendered - Overtime Charges,3953705.51,28,1107037.54,5060743.05,10,395370.55,0,0.0,4665372.5,4665372.5,Paid,Paid,Letter of Credit,2024-06-26,56.0,0,2024-05-08,Contract Administrator,None,4,Matched,0.1045,No,0.0
INV00262,VEN01863,Vendor 1863,CONT01033,PO3135,2024-02-06,2024-05-06,Reimbursement,Services rendered - Reimbursement,93334.36,18,16800.18,110134.54,10,9333.44,0,22026.91,122828.02,0.0,Submitted,Overdue,,,,611,,,None,2,Mismatch,0.5955,No,122828.02
INV00263,VEN01390,Vendor 1390,CONT01330,PO8817,2024-10-22,2025-01-20,Material Supply,Services rendered - Material Supply,15464642.11,18,2783635.58,18248277.69,1,154646.42,0,0.0,18093631.27,0.0,Disputed,Under Review,,,,0,,,Unauthorized Work,7,Matched,0.4988,No,18093631.27
INV00264,VEN01226,Vendor 1226,CONT01796,PO6175,2024-06-29,2024-09-27,Retention Release,Work completion for Retention Release,369116.98,0,0.0,369116.98,10,36911.7,0,55367.55,387572.83,0.0,Verified,Overdue,,,,467,,Procurement Head,None,7,Partial Match,0.1672,No,387572.83
INV00265,VEN01335,Vendor 1335,CONT01199,PO8904,2025-04-22,2025-06-21,Reimbursement,Equipment rental charges,3041016.07,28,851484.5,3892500.57,2,60820.32,0,0.0,3831680.25,0.0,Cancelled,Rejected,,,,0,,,None,9,,0.0357,No,3831680.25
INV00266,VEN01146,Vendor 1146,CONT01137,PO7562,2024-08-29,2024-10-28,Retention Release,Retention Release - As per contract terms,3983875.18,18,717097.53,4700972.71,1,39838.75,0,658136.18,5319270.14,0.0,Approved,Overdue,,,,436,2024-09-01,Finance Manager,None,8,Partial Match,0.3029,No,5319270.14
INV00267,VEN01402,Vendor 1402,CONT01448,PO2311,2025-11-14,2025-12-29,Labor Charges,Services rendered - Labor Charges,20423250.68,0,0.0,20423250.68,1,204232.51,0,0.0,20219018.17,0.0,Disputed,Under Review,,,,0,,,Unauthorized Work,5,Mismatch,0.7813,Yes,20219018.17
INV00268,VEN01258,Vendor 1258,CONT01344,,2024-07-22,2024-09-20,Emergency Work,Material supply and installation,24597042.77,5,1229852.14,25826894.9,5,1229852.14,0,0.0,24597042.77,0.0,Disputed,Under Review,,,,0,,,Missing Documents,4,,0.5231,No,24597042.77
INV00269,VEN00475,Vendor 475,CONT01260,PO2124,2025-07-17,2025-08-16,Material Supply,Equipment rental charges,50129.27,5,2506.46,52635.74,0,0.0,0,0.0,52635.74,52635.74,Paid,Paid,Letter of Credit,2025-09-26,71.0,0,2025-07-27,Project Manager,None,7,Matched,0.1099,No,0.0
INV00270,VEN01488,Vendor 1488,CONT01700,PO9294,2024-06-13,2024-08-12,Material Supply,Work completion for Material Supply,42120627.9,28,11793775.81,53914403.71,1,421206.28,0,0.0,53493197.43,0.0,Disputed,Under Review,,,,0,,,Unauthorized Work,5,Matched,0.5124,No,53493197.43
INV00271,VEN00697,Vendor 697,CONT01940,PO1448,2025-09-09,2025-11-08,Professional Services,Labor charges for project work,13623408.18,18,2452213.47,16075621.65,5,681170.41,0,0.0,15394451.25,0.0,Disputed,Under Review,,,,0,,,Work Not Completed,11,Partial Match,0.3368,No,15394451.25
INV00272,VEN01298,Vendor 1298,CONT01616,PO7536,2025-05-26,2025-07-10,Overtime Charges,Material supply and installation,479950.56,28,134386.16,614336.72,10,47995.06,0,36860.2,603201.86,0.0,Submitted,Overdue,,,,181,,,None,4,Mismatch,0.5949,No,603201.86
INV00273,VEN00366,Vendor 366,CONT00976,PO4755,2025-02-19,2025-04-20,Advance Payment,Advance Payment - As per contract terms,9036136.74,5,451806.84,9487943.57,5,451806.84,0,759035.49,9795172.22,0.0,Under Review,Overdue,,,,262,,,None,14,Matched,0.3508,No,9795172.22
INV00274,VEN00730,Vendor 730,CONT00320,PO5501,2025-09-19,2025-10-19,Milestone Payment,Labor charges for project work,3485408.35,28,975914.34,4461322.69,0,0.0,0,89226.45,4550549.14,0.0,Verified,Overdue,,,,80,,Site Engineer,None,6,Partial Match,0.0366,No,4550549.14
INV00275,VEN01566,Vendor 1566,CONT01876,PO3863,2024-08-01,2024-09-30,Labor Charges,Work completion for Labor Charges,309499.33,0,0.0,309499.33,10,30949.93,0,0.0,278549.4,0.0,Cancelled,Rejected,,,,0,,,None,9,,0.0914,No,278549.4
INV00276,VEN00247,Vendor 247,CONT01431,PO4885,2024-07-25,2024-10-23,Material Supply,Professional services - Material Supply,553189.9,5,27659.5,580849.4,5,27659.5,0,81318.92,634508.82,0.0,Approved,Overdue,,,,441,2024-07-30,Project Manager,None,10,Partial Match,0.2698,No,634508.82
INV00277,VEN00750,Vendor 750,CONT00377,PO4863,2024-08-14,2024-11-12,Advance Payment,Progress billing - Month 10,3884880.94,12,466185.71,4351066.65,5,194244.05,0,0.0,4156822.6,4156822.6,Paid,Paid,NEFT,2024-12-29,137.0,0,2024-08-18,Finance Manager,None,10,Mismatch,0.3626,No,0.0
INV00278,VEN00299,Vendor 299,CONT01639,PO1781,2025-08-06,2025-11-04,Overtime Charges,Professional services - Overtime Charges,239684.3,5,11984.22,251668.52,10,23968.43,0,5033.37,232733.46,0.0,Verified,Overdue,,,,64,,Contract Administrator,None,13,Partial Match,0.0198,No,232733.46
INV00279,VEN00335,Vendor 335,CONT00123,PO4259,2025-05-31,2025-07-30,Equipment Rental,Work completion for Equipment Rental,6444528.3,12,773343.4,7217871.7,2,128890.57,0,0.0,7088981.13,3403797.61,Partially Paid,Partially Paid,IMPS,2025-08-29,90.0,0,2025-06-02,,None,7,Mismatch,0.445,No,3685183.52
INV00280,VEN00358,Vendor 358,CONT01599,PO3373,2025-03-21,2025-05-20,Material Supply,Material supply and installation,2693721.85,18,484869.93,3178591.78,0,0.0,0,0.0,3178591.78,0.0,Cancelled,Rejected,,,,0,,,None,8,,0.1737,No,3178591.78
INV00281,VEN01312,Vendor 1312,CONT01655,PO5382,2025-01-26,2025-04-26,Change Order Payment,Professional services - Change Order Payment,2321477.24,0,0.0,2321477.24,0,0.0,0,0.0,2321477.24,0.0,Rejected,Rejected,,,,0,,,Price Mismatch,6,,0.1211,No,2321477.24
INV00282,VEN00810,Vendor 810,CONT00556,PO2311,2024-10-08,2024-12-07,Emergency Work,Emergency Work - As per contract terms,4844867.15,18,872076.09,5716943.23,1,48448.67,0,0.0,5668494.56,0.0,Rejected,Rejected,,,,0,,,Missing Documents,11,,0.0421,No,5668494.56
INV00283,VEN00814,Vendor 814,CONT00211,PO7387,2025-10-01,2025-10-31,Equipment Rental,Material supply and installation,618642.11,18,111355.58,729997.69,10,61864.21,0,14599.95,682733.43,0.0,Approved,Overdue,,,,68,2025-10-04,Finance Manager,None,10,Partial Match,0.0459,No,682733.43
INV00284,VEN01511,Vendor 1511,CONT00582,PO8480,2024-10-10,2024-11-24,Final Payment,Labor charges for project work,1267735.93,0,0.0,1267735.93,2,25354.72,0,0.0,1242381.21,909572.84,Partially Paid,Partially Paid,Online Payment,2024-12-18,69.0,0,2024-10-19,,None,3,Mismatch,0.5252,No,332808.37
INV00285,VEN00891,Vendor 891,CONT01073,PO3233,2024-03-22,2024-05-21,Material Supply,Progress billing - Month 5,1522078.0,0,0.0,1522078.0,5,76103.9,0,0.0,1445974.1,1445974.1,Paid,Paid,Demand Draft,2024-06-26,96.0,0,2024-03-23,Finance Manager,None,5,Partial Match,0.0574,No,0.0
INV00286,VEN01096,Vendor 1096,CONT00018,PO8161,2024-02-02,2024-05-02,Overtime Charges,Professional services - Overtime Charges,541096.7,18,97397.41,638494.1,2,10821.93,0,127698.82,755370.99,0.0,Under Review,Overdue,,,,615,,,None,4,Partial Match,0.268,No,755370.99
INV00287,VEN01323,Vendor 1323,CONT00799,PO2808,2024-12-15,2025-01-29,Retention Release,Equipment rental charges,331395.36,28,92790.7,424186.06,10,33139.54,0,0.0,391046.52,391046.52,Paid,Paid,Online Payment,2025-02-24,71.0,0,2024-12-17,Project Manager,None,4,Mismatch,0.3816,No,0.0
INV00288,VEN01435,Vendor 1435,CONT01276,PO1134,2024-08-21,2024-10-05,Material Supply,Material supply and installation,72334.43,28,20253.64,92588.07,0,0.0,0,0.0,92588.07,0.0,Rejected,Rejected,,,,0,,,Incorrect Amount,3,,0.0466,No,92588.07
INV00289,VEN00309,Vendor 309,CONT00031,PO3393,2024-08-19,2024-10-03,Material Supply,Services rendered - Material Supply,4035764.02,18,726437.52,4762201.55,2,80715.28,0,0.0,4681486.27,0.0,Disputed,Under Review,,,,0,,,Missing Documents,14,Matched,0.4318,No,4681486.27
INV00290,VEN01113,Vendor 1113,CONT00963,PO1549,2025-07-05,2025-08-19,Reimbursement,Labor charges for project work,221709.83,0,0.0,221709.83,0,0.0,0,8868.39,230578.23,0.0,Under Review,Overdue,,,,141,,,None,4,Matched,0.3003,No,230578.23
INV00291,VEN01068,Vendor 1068,CONT01364,PO5895,2025-06-07,2025-09-05,Labor Charges,Services rendered - Labor Charges,1904492.15,12,228539.06,2133031.2,1,19044.92,0,85321.25,2199307.53,0.0,Submitted,Overdue,,,,124,,,None,5,Matched,0.1465,No,2199307.53
INV00292,VEN01366,Vendor 1366,CONT00447,PO8786,2025-09-13,2025-10-28,Change Order Payment,Change Order Payment - As per contract terms,567804.67,12,68136.56,635941.23,10,56780.47,0,12718.82,591879.59,0.0,Approved,Overdue,,,,71,2025-09-14,Site Engineer,None,1,Mismatch,0.3935,No,591879.59
INV00293,VEN00184,Vendor 184,CONT00510,PO6690,2025-07-29,2025-10-27,Milestone Payment,Labor charges for project work,2022899.44,0,0.0,2022899.44,0,0.0,0,0.0,2022899.44,1258824.93,Partially Paid,Partially Paid,Cheque,2025-11-25,119.0,0,2025-08-04,,None,4,Partial Match,0.1466,No,764074.51
INV00294,VEN00044,Vendor 44,CONT01412,PO6696,2024-12-16,2025-02-14,Emergency Work,Labor charges for project work,454398.37,18,81791.71,536190.08,5,22719.92,0,53619.01,567089.17,0.0,Verified,Overdue,,,,327,,Site Engineer,None,4,Partial Match,0.2283,No,567089.17
INV00295,VEN01703,Vendor 1703,CONT01227,PO6965,2024-06-18,2024-08-02,Milestone Payment,Progress billing - Month 12,2522228.9,12,302667.47,2824896.37,10,252222.89,0,0.0,2572673.48,1355900.52,Partially Paid,Partially Paid,Demand Draft,2024-08-29,72.0,0,2024-06-19,,None,15,Mismatch,0.392,No,1216772.96
INV00296,VEN01349,Vendor 1349,CONT01981,PO1717,2024-07-04,2024-10-02,Advance Payment,Professional services - Advance Payment,2738971.22,28,766911.94,3505883.16,1,27389.71,0,0.0,3478493.45,3478493.45,Paid,Paid,Demand Draft,2024-11-02,121.0,0,2024-07-06,Site Engineer,None,2,Matched,0.0357,No,0.0
INV00297,VEN00065,Vendor 65,CONT00414,PO2161,2025-09-19,2025-12-18,Advance Payment,Material supply and installation,306955.48,18,55251.99,362207.47,5,15347.77,0,0.0,346859.69,0.0,Verified,Overdue,,,,20,,Accounts Head,None,1,Matched,0.186,No,346859.69
INV00298,VEN00428,Vendor 428,CONT01343,PO2276,2024-08-21,2024-09-20,Equipment Rental,Work completion for Equipment Rental,5910502.82,28,1654940.79,7565443.62,5,295525.14,0,0.0,7269918.47,5068040.38,Partially Paid,Partially Paid,IMPS,2024-09-18,28.0,0,2024-08-23,,None,12,Matched,0.1921,No,2201878.09
INV00299,VEN00199,Vendor 199,CONT00208,PO6864,2025-05-15,2025-08-13,Advance Payment,Equipment rental charges,345594.43,28,96766.44,442360.87,1,3455.94,0,17694.43,456599.36,0.0,Verified,Overdue,,,,147,,Finance Manager,None,12,Mismatch,0.6348,No,456599.36
INV00300,VEN00342,Vendor 342,CONT01623,PO6299,2025-07-06,2025-10-04,Professional Services,Equipment rental charges,121179.41,28,33930.23,155109.64,5,6058.97,0,0.0,149050.67,111973.19,Partially Paid,Partially Paid,Letter of Credit,2025-11-03,120.0,0,2025-07-13,,None,13,Mismatch,0.3573,No,37077.48000000001
INV00301,VEN00769,Vendor 769,CONT01569,PO5945,2024-06-22,2024-08-21,Material Supply,Work completion for Material Supply,55799983.12,18,10043996.96,65843980.08,0,0.0,0,10535036.81,76379016.89,0.0,Submitted,Overdue,,,,504,,,None,9,Matched,0.1744,No,76379016.89
INV00302,VEN01753,Vendor 1753,CONT00645,PO5093,2025-12-15,2026-02-13,Professional Services,Professional services - Professional Services,3068006.92,28,859041.94,3927048.86,1,30680.07,0,0.0,3896368.79,0.0,Approved,Pending,,,,0,2025-12-18,Accounts Head,None,3,Matched,0.0512,No,3896368.79
INV00303,VEN00616,Vendor 616,CONT00189,PO1612,2024-06-01,2024-08-30,Maintenance Charges,Services rendered - Maintenance Charges,16013989.31,12,1921678.72,17935668.03,5,800699.47,0,0.0,17134968.56,0.0,Rejected,Rejected,,,,0,,,Duplicate Invoice,10,,0.6614,No,17134968.56
INV00304,VEN00161,Vendor 161,CONT01598,PO1674,2025-11-10,2026-01-09,Material Supply,Equipment rental charges,11514565.95,0,0.0,11514565.95,1,115145.66,0,0.0,11399420.29,0.0,Submitted,Pending,,,,0,,,None,1,Partial Match,0.108,No,11399420.29
INV00305,VEN00307,Vendor 307,CONT00670,PO3425,2024-08-10,2024-09-24,Final Payment,Final Payment - As per contract terms,379210.36,18,68257.86,447468.22,5,18960.52,0,67120.23,495627.94,0.0,Verified,Overdue,,,,470,,Accounts Head,None,7,Matched,0.2288,No,495627.94
INV00306,VEN01527,Vendor 1527,CONT00101,PO9589,2024-06-24,2024-09-22,Retention Release,Equipment rental charges,275820.4,5,13791.02,289611.42,1,2758.2,0,0.0,286853.22,0.0,Disputed,Under Review,,,,0,,,Work Not Completed,11,Matched,0.4017,No,286853.22
INV00307,VEN00881,Vendor 881,CONT00663,PO8216,2024-02-05,2024-03-06,Milestone Payment,Professional services - Milestone Payment,2405932.71,12,288711.93,2694644.64,1,24059.33,0,0.0,2670585.31,1261217.17,Partially Paid,Partially Paid,IMPS,2024-03-02,26.0,0,2024-02-13,,None,10,Matched,0.1848,No,1409368.1400000001
INV00308,VEN00479,Vendor 479,CONT00409,PO5713,2024-02-05,2024-04-05,Final Payment,Progress billing - Month 10,17791462.18,0,0.0,17791462.18,0,0.0,0,3736207.06,21527669.24,0.0,Under Review,Overdue,,,,642,,,None,14,Matched,0.2952,No,21527669.24
INV00309,VEN00625,Vendor 625,CONT00922,PO1301,2024-09-11,2024-10-11,Material Supply,Labor charges for project work,292102.46,5,14605.12,306707.58,10,29210.25,0,46006.14,323503.47,0.0,Verified,Overdue,,,,453,,Procurement Head,None,10,Partial Match,0.291,No,323503.47
INV00310,VEN00090,Vendor 90,CONT00524,PO6901,2025-07-16,2025-08-15,Retention Release,Equipment rental charges,363437.01,12,43612.44,407049.45,0,0.0,0,0.0,407049.45,0.0,Disputed,Under Review,,,,0,,,Missing Documents,11,Matched,0.4773,No,407049.45
INV00311,VEN01330,Vendor 1330,CONT00792,PO1352,2025-05-15,2025-08-13,Professional Services,Progress billing - Month 2,27968296.95,12,3356195.63,31324492.58,5,1398414.85,0,1252979.7,31179057.44,0.0,Verified,Overdue,,,,147,,Site Engineer,None,4,Matched,0.2306,No,31179057.44
INV00312,VEN00684,Vendor 684,CONT01004,PO1482,2024-11-30,2025-01-14,Progress Payment,Work completion for Progress Payment,208360.89,12,25003.31,233364.19,1,2083.61,0,25670.06,256950.65,0.0,Verified,Overdue,,,,358,,Accounts Head,None,11,Mismatch,0.5807,No,256950.65
INV00313,VEN00805,Vendor 805,CONT01346,PO6395,2025-08-19,2025-09-18,Emergency Work,Progress billing - Month 4,4822725.62,28,1350363.17,6173088.79,1,48227.26,0,0.0,6124861.54,0.0,Cancelled,Rejected,,,,0,,,None,7,,0.0898,No,6124861.54
INV00314,VEN00270,Vendor 270,CONT00424,PO3589,2024-03-09,2024-04-23,Maintenance Charges,Equipment rental charges,4100472.77,5,205023.64,4305496.4,2,82009.46,0,861099.28,5084586.23,0.0,Verified,Overdue,,,,624,,Project Manager,None,15,Partial Match,0.2134,No,5084586.23
INV00315,VEN01474,Vendor 1474,CONT00243,PO5485,2025-07-02,2025-08-31,Reimbursement,Labor charges for project work,15906193.0,12,1908743.16,17814936.16,5,795309.65,0,0.0,17019626.51,0.0,Cancelled,Rejected,,,,0,,,None,12,,0.0304,No,17019626.51
INV00316,VEN00385,Vendor 385,CONT00219,PO6886,2025-08-25,2025-10-09,Progress Payment,Progress Payment - As per contract terms,14179723.97,12,1701566.88,15881290.84,10,1417972.4,0,476438.73,14939757.17,0.0,Under Review,Overdue,,,,90,,,None,4,Matched,0.1376,No,14939757.17
INV00317,VEN00977,Vendor 977,CONT00275,,2024-08-10,2024-11-08,Emergency Work,Emergency Work - As per contract terms,1327894.15,18,239020.95,1566915.1,5,66394.71,0,0.0,1500520.39,0.0,Disputed,Under Review,,,,0,,,Quality Issues,4,,0.4559,No,1500520.39
INV00318,VEN00553,Vendor 553,CONT01947,PO8496,2024-11-10,2024-12-25,Emergency Work,Labor charges for project work,1412751.09,5,70637.55,1483388.65,0,0.0,0,0.0,1483388.65,0.0,Rejected,Rejected,,,,0,,,Duplicate Invoice,12,,0.663,No,1483388.65
INV00319,VEN01590,Vendor 1590,CONT00086,PO1694,2024-04-24,2024-07-23,Emergency Work,Work completion for Emergency Work,325177.19,28,91049.61,416226.81,10,32517.72,0,70758.56,454467.65,0.0,Verified,Overdue,,,,533,,Finance Manager,None,9,Matched,0.231,No,454467.65
INV00320,VEN01506,Vendor 1506,CONT00081,PO5823,2024-06-14,2024-09-12,Professional Services,Material supply and installation,19438884.67,5,971944.23,20410828.91,2,388777.69,0,0.0,20022051.21,0.0,Disputed,Under Review,,,,0,,,Unauthorized Work,8,Mismatch,1.0,Yes,20022051.21
INV00321,VEN00950,Vendor 950,CONT01700,,2024-03-16,2024-06-14,Milestone Payment,Professional services - Milestone Payment,1009272.14,28,282596.2,1291868.34,10,100927.21,0,0.0,1190941.12,0.0,Rejected,Rejected,,,,0,,,Unauthorized Work,8,,0.0907,No,1190941.12
INV00322,VEN01837,Vendor 1837,CONT01460,PO7292,2025-06-14,2025-09-12,Milestone Payment,Labor charges for project work,361272.84,5,18063.64,379336.48,0,0.0,0,11380.09,390716.58,0.0,Approved,Overdue,,,,117,2025-06-20,Finance Manager,None,11,Mismatch,0.6993,No,390716.58
INV00323,VEN00776,Vendor 776,CONT01128,PO8311,2024-12-13,2025-01-12,Overtime Charges,Work completion for Overtime Charges,200836.91,5,10041.85,210878.76,1,2008.37,0,0.0,208870.39,0.0,Rejected,Rejected,,,,0,,,Quality Issues,7,,0.0578,No,208870.39
INV00324,VEN00371,Vendor 371,CONT00241,PO8794,2025-08-25,2025-10-09,Progress Payment,Labor charges for project work,1638999.39,18,295019.89,1934019.28,5,81949.97,0,0.0,1852069.31,0.0,Disputed,Under Review,,,,0,,,Missing Documents,4,Partial Match,0.3979,No,1852069.31
INV00325,VEN01230,Vendor 1230,CONT00014,PO1531,2025-05-01,2025-06-30,Maintenance Charges,Professional services - Maintenance Charges,4190546.26,5,209527.31,4400073.57,0,0.0,0,0.0,4400073.57,0.0,Rejected,Rejected,,,,0,,,Quality Issues,1,,0.1334,No,4400073.57
INV00326,VEN01717,Vendor 1717,CONT01236,PO6289,2025-03-07,2025-05-06,Milestone Payment,Professional services - Milestone Payment,237630.62,5,11881.53,249512.15,1,2376.31,0,0.0,247135.84,247135.84,Paid,Paid,UPI,2025-05-18,72.0,0,2025-03-08,Finance Manager,None,15,Partial Match,0.1795,No,0.0
INV00327,VEN01680,Vendor 1680,CONT00139,PO2790,2024-10-26,2024-11-25,Retention Release,Retention Release - As per contract terms,1049104.54,12,125892.54,1174997.08,2,20982.09,0,152749.62,1306764.61,0.0,Verified,Overdue,,,,408,,Project Manager,None,12,Mismatch,0.7063,No,1306764.61
