rfq_id,vendor_id,vendor_name,item_category,item_description,quantity,unit,rfq_date,submission_deadline,response_date,is_late_submission,quoted_price_per_unit,total_quoted_amount,gst_rate,gst_amount,total_with_gst,delivery_timeline_days,delivery_terms,payment_terms,warranty_months,technical_score,commercial_score,overall_score,response_status,rejection_reason,compliance_status,evaluation_date,award_date,rank,num_competitors,anomaly_score,is_anomaly,validity_days,contact_person,notes,market_avg_price,price_deviation_pct
RFQ00251,VEN01048,Vendor 1048,Waterproofing Membrane,Waterproofing Membrane - Grade C,76,MT,2025-04-17,2025-05-01,2025-04-22,False,9077.5,689889.93,0,0.0,689889.93,86,Door Delivery,"Advance 30%, Balance 70%",6,52.39,59.53,55.24,Rejected,Technical Issues,Non-Compliant,,,,3,0.5906,Yes,120,Regional Manager,Delivery timeline tight,6534.49,38.916732598871526
RFQ00252,VEN01730,Vendor 1730,False Ceiling,False Ceiling - Grade B,253,Feet,2024-07-23,2024-08-22,2024-08-03,False,4832.45,1222609.49,12,146713.14,1369322.63,144,CIF,Net 45 days,0,71.24,76.95,73.53,Shortlisted,None,Partially Compliant,2024-08-06,,6.0,19,0.1208,No,120,Regional Manager,Premium quality offered,5538.555,-12.748902917818825
RFQ00253,VEN01197,Vendor 1197,Sanitary Ware,Sanitary Ware - Grade Premium,4882,Square Meter,2025-08-12,2025-09-04,2025-09-04,False,5729.97,27973730.43,28,7832644.52,35806374.95,117,Ex-Factory,Net 30 days,12,97.2,51.08,78.75,Accepted,None,Fully Compliant,2025-09-15,,7.0,6,0.5242,No,30,Regional Manager,,6706.465,-14.560502440555492
RFQ00254,VEN00761,Vendor 761,Wiring,Wiring - Grade C,250,Units,2025-11-18,2025-12-04,2025-12-08,True,2191.42,547855.86,0,0.0,547855.86,10,Delivered to Site,Bank Guarantee,24,78.29,67.01,73.78,Under Evaluation,None,Partially Compliant,2025-12-17,,,7,0.2286,No,120,Account Manager,Price negotiable,4583.610000000001,-52.19008598026447
RFQ00255,VEN01367,Vendor 1367,Elevators,Elevators - Grade B,3559,Pieces,2024-11-28,2024-12-15,2024-12-13,False,4224658.57,15035559863.77,5,751777993.19,15787337856.95,78,Door Delivery,Against Delivery,6,82.2,42.55,66.34,Shortlisted,None,Fully Compliant,2024-12-23,,10.0,4,0.2872,No,120,Business Development Head,Delivery timeline tight,3174096.675,33.097980388388784
RFQ00256,VEN01837,Vendor 1837,Steel Bars,Steel Bars - Grade A,592,Liters,2025-04-30,2025-05-29,2025-05-19,False,4428.54,2621697.07,28,734075.18,3355772.25,95,FOB,"Advance 30%, Balance 70%",48,59.03,40.72,51.7,Rejected,High Price,Non-Compliant,,,,15,0.3514,No,30,Sales Manager,Premium quality offered,4073.785,8.708240616527386
RFQ00257,VEN00295,Vendor 295,Tiles,Tiles - Grade C,178,Ton,2025-02-07,2025-02-19,2025-02-08,False,163.77,29150.4,5,1457.52,30607.92,123,CIF,Net 30 days,18,61.98,93.96,74.77,Shortlisted,None,Partially Compliant,2025-02-18,,9.0,15,0.2848,No,60,Sales Manager,Delivery timeline tight,260.9,-37.22882330394786
RFQ00258,VEN00834,Vendor 834,Sand,Sand - Grade Premium,824,Quintal,2025-04-29,2025-05-23,2025-05-04,False,3155.23,2599910.36,0,0.0,2599910.36,66,Door Delivery,Net 60 days,18,76.88,68.48,73.52,Accepted,None,Partially Compliant,2025-05-13,,1.0,3,0.2438,No,120,Director,Good technical compliance,5310.355,-40.58344498625798
RFQ00259,VEN00002,Vendor 2,Bricks,Bricks - Grade Premium,628,Liters,2024-08-02,2024-08-18,2024-08-05,False,3101.31,1947619.79,0,0.0,1947619.79,125,DDP,30-60-90 days,36,94.2,78.91,88.08,Shortlisted,None,Fully Compliant,2024-08-19,,8.0,11,0.0738,No,60,Director,,4654.68,-33.372218928046614
RFQ00260,VEN01965,Vendor 1965,False Ceiling,False Ceiling - Grade C,5016,Loads,2026-01-02,2026-01-09,2026-01-06,False,6322.76,31714985.51,18,5708697.39,37423682.9,19,Door Delivery,Net 30 days,60,83.61,50.59,70.4,Under Evaluation,None,Fully Compliant,2026-01-21,,,14,0.116,No,30,Sales Manager,Established vendor,5538.555,14.159018011015506
RFQ00261,VEN00911,Vendor 911,Cement,Cement - Grade B,488,Kg,2025-03-02,2025-03-31,2025-03-18,False,6702.82,3270978.38,18,588776.11,3859754.49,29,DDP,Against Delivery,48,55.55,89.16,68.99,Negotiation,None,Non-Compliant,2025-03-22,,,20,0.0581,No,120,Account Manager,Additional clarifications needed,3749.62,78.75998101140915
RFQ00262,VEN00360,Vendor 360,Sand,Sand - Grade Standard,7126,Pieces,2024-07-20,2024-08-19,2024-07-27,False,7296.64,51995884.88,28,14558847.77,66554732.64,161,FOB,LC at Sight,0,92.69,89.84,91.55,Shortlisted,None,Fully Compliant,2024-08-04,,5.0,6,0.2041,No,90,Senior Manager,Competitive pricing,5310.355,37.40399653130536
RFQ00263,VEN01811,Vendor 1811,Cranes,Cranes - Grade B,2720,Bundles,2026-01-01,2026-01-20,2026-01-04,False,10338.23,28119982.65,5,1405999.13,29525981.79,43,DDP,Net 60 days,36,65.54,58.78,62.84,Under Evaluation,None,Partially Compliant,2026-01-13,,,16,0.4616,No,120,Account Manager,Premium quality offered,4284.32,141.30387085931957
RFQ00264,VEN00507,Vendor 507,TMT Bars,TMT Bars - Grade Premium,7732,Pieces,2025-10-24,2025-11-19,2025-11-18,False,1159.31,8963807.64,0,0.0,8963807.64,94,FCA,Cash on Delivery,6,89.13,61.24,77.98,Under Evaluation,None,Fully Compliant,2025-11-20,,,12,0.1832,No,90,Sales Manager,,3136.985,-63.04381436315444
RFQ00265,VEN00115,Vendor 115,Waterproofing Membrane,Waterproofing Membrane - Grade A,295,MT,2024-09-29,2024-10-18,2024-10-13,False,9672.19,2853296.61,12,342395.59,3195692.21,93,Door Delivery,"Advance 30%, Balance 70%",18,55.4,60.25,57.34,Under Evaluation,None,Non-Compliant,2024-10-24,,,9,0.2713,No,45,Account Manager,Meets all specifications,6534.49,48.01751934734005
RFQ00266,VEN00863,Vendor 863,Plumbing Fixtures,Plumbing Fixtures - Grade Standard,66,Cubic Meter,2025-02-21,2025-03-18,2025-03-14,False,7375.12,486757.95,28,136292.22,623050.17,75,DAP,"Advance 30%, Balance 70%",0,75.88,84.87,79.48,Shortlisted,None,Partially Compliant,2025-03-19,,9.0,20,0.2576,No,90,Director,,6904.08,6.82263241445638
RFQ00267,VEN00411,Vendor 411,LED Lights,LED Lights - Grade B,3735,Bundles,2025-01-28,2025-02-23,2025-02-08,False,1760.71,6576236.0,0,0.0,6576236.0,37,DDP,Bank Guarantee,18,61.95,74.69,67.05,Shortlisted,None,Partially Compliant,2025-02-15,,7.0,9,0.1201,No,30,Director,,4739.14,-62.84747865646509
RFQ00268,VEN00733,Vendor 733,Steel Bars,Steel Bars - Grade Standard,6592,Meters,2025-11-23,2025-11-30,2025-11-26,False,2075.37,13680869.65,5,684043.48,14364913.13,57,DDP,Net 30 days,12,92.14,67.32,82.21,Shortlisted,None,Fully Compliant,2025-12-08,,3.0,15,0.631,Yes,60,Business Development Head,Established vendor,4073.785,-49.05548525511287
RFQ00269,VEN00758,Vendor 758,Generators,Generators - Grade B,77,Cubic Meter,2025-08-26,2025-09-08,2025-09-02,False,3541881.66,272724888.15,18,49090479.87,321815368.02,37,Door Delivery,"Advance 20%, Balance 80%",12,66.38,75.8,70.15,Under Evaluation,None,Partially Compliant,2025-09-17,,,7,0.2555,No,120,Senior Manager,,3172694.88,11.636378345969414
RFQ00270,VEN00167,Vendor 167,Plumbing Fixtures,Plumbing Fixtures - Grade Standard,760,Loads,2024-07-24,2024-08-14,2024-08-05,False,5531.89,4204239.9,18,756763.18,4961003.08,22,DDP,Net 90 days,18,72.6,64.69,69.44,Under Evaluation,None,Partially Compliant,2024-08-13,,,15,0.1714,No,60,Director,Good technical compliance,6904.08,-19.87505938517514
RFQ00271,VEN01540,Vendor 1540,Aggregates,Aggregates - Grade C,66,Sets,2024-07-31,2024-08-26,2024-08-15,False,4792.98,316336.45,18,56940.56,373277.01,38,Ex-Factory,Net 90 days,24,82.27,67.18,76.23,Shortlisted,None,Fully Compliant,2024-08-30,,9.0,19,0.164,No,30,Director,Fast delivery timeline,4608.13,4.011388567596822
RFQ00272,VEN00243,Vendor 243,Sand,Sand - Grade C,602,Nos,2025-03-03,2025-04-02,2025-03-25,False,7845.34,4722893.9,28,1322410.29,6045304.2,84,FOB,"Advance 20%, Balance 80%",24,91.12,86.75,89.37,Accepted,None,Fully Compliant,2025-04-02,,10.0,3,0.1416,No,120,Business Development Head,Established vendor,5310.355,47.73663907591867
RFQ00273,VEN00465,Vendor 465,Cranes,Cranes - Grade B,3404,Sets,2025-01-23,2025-02-01,2025-01-27,False,5330.39,18144633.39,18,3266034.01,21410667.4,13,FCA,Net 60 days,12,65.28,62.13,64.02,Negotiation,None,Partially Compliant,2025-02-08,,,14,0.568,No,90,Account Manager,Delivery timeline tight,4284.32,24.416243417858627
RFQ00274,VEN00614,Vendor 614,Switches,Switches - Grade Standard,390,Bundles,2024-12-02,2024-12-21,2024-12-15,False,734.06,286284.78,18,51531.26,337816.04,78,CIF,Net 60 days,6,83.74,63.55,75.67,Under Evaluation,None,Fully Compliant,2024-12-26,,,18,0.0081,No,45,Sales Manager,Partial compliance issues,5302.28,-86.15576695308432
RFQ00275,VEN00582,Vendor 582,Granite,Granite - Grade B,47,Meters,2024-07-25,2024-08-01,2024-08-01,False,462.38,21731.63,0,0.0,21731.63,11,Delivered to Site,Net 90 days,12,93.52,66.2,82.59,Under Evaluation,None,Fully Compliant,2024-08-13,,,18,0.0476,No,120,Director,Delivery timeline tight,280.635,64.7620574767937
RFQ00276,VEN01468,Vendor 1468,Scaffolding,Scaffolding - Grade Premium,45,Feet,2025-04-29,2025-05-22,2025-05-18,False,9104.54,409704.41,28,114717.23,524421.64,126,FCA,Cash on Delivery,24,69.55,76.47,72.32,Under Evaluation,None,Partially Compliant,2025-05-26,,,10,0.0539,No,120,Account Manager,Partial compliance issues,5843.41,55.80868020556492
RFQ00277,VEN01866,Vendor 1866,Safety Equipment,Safety Equipment - Grade B,391,Square Meter,2025-04-01,2025-04-28,2025-04-23,False,10356.43,4049364.68,5,202468.23,4251832.91,22,FCA,Net 45 days,6,75.22,63.39,70.49,Negotiation,None,Partially Compliant,2025-04-27,,,11,0.0622,No,30,Senior Manager,,4829.53,114.43970738353424
RFQ00278,VEN01309,Vendor 1309,Construction Equipment,Construction Equipment - Grade Premium,2635,Ton,2025-12-27,2026-01-11,2026-01-11,False,1622.57,4275460.98,18,769582.98,5045043.96,44,Ex-Factory,Net 60 days,60,91.02,65.25,80.71,Shortlisted,None,Fully Compliant,2026-01-13,,10.0,6,0.0532,No,30,Regional Manager,Good technical compliance,5167.01,-68.59750610120747
RFQ00279,VEN00159,Vendor 159,Safety Equipment,Safety Equipment - Grade A,239,Liters,2025-12-02,2025-12-30,2025-12-17,False,8289.54,1981199.37,28,554735.82,2535935.2,27,Delivered to Site,Cash on Delivery,24,72.2,57.95,66.5,Under Evaluation,None,Partially Compliant,2025-12-25,,,9,0.4858,No,60,Business Development Head,,4829.53,71.64278925692565
RFQ00280,VEN00033,Vendor 33,Air Conditioners,Air Conditioners - Grade A,272,Quintal,2025-07-19,2025-08-18,2025-08-02,False,6085.62,1655289.52,12,198634.74,1853924.26,50,Door Delivery,LC at Sight,48,56.04,46.41,52.19,Rejected,High Price,Non-Compliant,,,,8,0.303,No,60,Sales Manager,Price negotiable,5131.325000000001,18.597438283484266
RFQ00281,VEN00451,Vendor 451,Sand,Sand - Grade C,419,Units,2025-03-04,2025-03-30,2025-03-08,False,8345.24,3496654.13,28,979063.16,4475717.29,90,Delivered to Site,Against Delivery,12,66.6,59.06,63.59,Rejected,Insufficient Experience,Partially Compliant,,,,18,0.3135,No,30,Regional Manager,Price negotiable,5310.355,57.15032234191501
RFQ00282,VEN00784,Vendor 784,Doors,Doors - Grade B,74,Quintal,2025-02-24,2025-03-10,2025-03-09,False,2214.18,163849.29,5,8192.46,172041.75,45,Delivered to Site,Net 90 days,0,61.9,95.88,75.49,Accepted,None,Partially Compliant,2025-03-18,,6.0,7,0.0834,No,30,Regional Manager,Partial compliance issues,4952.02,-55.28733728862162
RFQ00283,VEN01328,Vendor 1328,Electrical Cables,Electrical Cables - Grade A,475,Ton,2025-04-27,2025-05-25,2025-05-05,False,6135.7,2914458.8,12,349735.06,3264193.86,12,Ex-Factory,Net 45 days,18,52.61,79.84,63.5,Shortlisted,None,Non-Compliant,2025-05-09,,2.0,8,0.1778,No,45,Business Development Head,Partial compliance issues,5397.135,13.684389958746623
RFQ00284,VEN01485,Vendor 1485,Escalators,Escalators - Grade C,469,Pieces,2025-03-02,2025-03-18,2025-03-09,False,2003448.56,939617376.27,0,0.0,939617376.27,111,Ex-Factory,LC at Sight,48,88.02,64.59,78.64,Under Evaluation,None,Fully Compliant,2025-03-11,,,15,0.3855,No,30,Director,Good technical compliance,2867885.52,-30.141961873010885
RFQ00285,VEN01133,Vendor 1133,Cranes,Cranes - Grade B,737,Feet,2024-09-01,2024-09-10,2024-09-09,False,2478.63,1826748.13,0,0.0,1826748.13,137,Delivered to Site,LC at Sight,48,98.52,51.19,79.59,Negotiation,None,Fully Compliant,2024-09-21,,,5,0.5818,Yes,30,Senior Manager,Good technical compliance,4284.32,-42.146478320947075
RFQ00286,VEN00398,Vendor 398,Pumps,Pumps - Grade Premium,7855,Loads,2024-12-25,2025-01-23,2025-01-07,False,10610.24,83343469.56,5,4167173.48,87510643.04,22,Ex-Works,"Advance 20%, Balance 80%",60,97.21,44.42,76.1,Shortlisted,None,Fully Compliant,2025-01-18,,3.0,3,0.035,No,30,Account Manager,Partial compliance issues,6998.595,51.60528648964541
RFQ00287,VEN00815,Vendor 815,Excavators,Excavators - Grade Standard,365,Units,2025-04-23,2025-05-22,2025-05-11,False,6639.63,2423466.1,12,290815.93,2714282.03,30,FCA,Net 60 days,24,87.44,78.6,83.9,Negotiation,None,Fully Compliant,2025-05-17,,,3,0.2961,No,90,Sales Manager,,5410.12,22.726113283993705
RFQ00288,VEN01585,Vendor 1585,Construction Equipment,Construction Equipment - Grade Premium,313,Square Meter,2024-12-19,2024-12-31,2024-12-23,False,5167.01,1617273.66,0,0.0,1617273.66,48,DDP,Net 30 days,12,90.46,63.84,79.81,Accepted,None,Fully Compliant,2025-01-07,,7.0,17,0.1881,No,120,Sales Manager,Good technical compliance,5167.01,0.0
RFQ00289,VEN00164,Vendor 164,Electrical Cables,Electrical Cables - Grade A,58,Pieces,2024-09-04,2024-09-26,2024-09-08,False,185.66,10768.16,0,0.0,10768.16,28,DDP,Progress Payment,0,68.78,82.8,74.39,Accepted,None,Partially Compliant,2024-09-14,,8.0,18,0.2271,No,120,Senior Manager,Meets all specifications,5397.135,-96.56002675493572
RFQ00290,VEN00646,Vendor 646,Aluminum,Aluminum - Grade C,693,Bundles,2025-09-26,2025-10-03,2025-10-02,False,4828.92,3346444.2,5,167322.21,3513766.41,63,DDP,"Advance 30%, Balance 70%",60,80.92,59.77,72.46,Negotiation,None,Fully Compliant,2025-10-10,,,9,0.3006,No,60,Sales Manager,Competitive pricing,4717.645,2.3586980368382875
RFQ00291,VEN01986,Vendor 1986,Concrete Mixers,Concrete Mixers - Grade C,3485,Kg,2025-01-15,2025-02-04,2025-02-12,True,11773.36,41030172.11,0,0.0,41030172.11,42,Ex-Works,Progress Payment,0,56.39,63.9,59.4,Rejected,Late Submission,Non-Compliant,,,,20,0.4974,No,90,Business Development Head,Fast delivery timeline,4676.25,151.7692595562684
RFQ00292,VEN00988,Vendor 988,Safety Equipment,Safety Equipment - Grade Standard,40,Units,2025-12-08,2025-12-20,2025-12-26,True,10450.6,418024.06,5,20901.2,438925.26,30,Ex-Works,Progress Payment,60,54.52,60.75,57.01,Under Evaluation,None,Non-Compliant,2026-01-06,,,5,0.4288,No,90,Account Manager,Partial compliance issues,4829.53,116.38958656432408
RFQ00293,VEN01340,Vendor 1340,Street Lights,Street Lights - Grade Standard,614,Kg,2025-09-14,2025-09-23,2025-09-18,False,6697.96,4112549.57,12,493505.95,4606055.52,11,DAP,Net 30 days,18,92.36,99.7,95.29,Accepted,None,Fully Compliant,2025-09-25,,3.0,19,0.1991,No,120,Business Development Head,,5569.405000000001,20.26347518271699
RFQ00294,VEN00019,Vendor 19,Roofing Sheets,Roofing Sheets - Grade Premium,174,Loads,2024-09-27,2024-10-08,2024-09-30,False,8917.5,1551644.46,0,0.0,1551644.46,26,DAP,Cash on Delivery,60,81.55,46.47,67.52,Under Evaluation,None,Fully Compliant,2024-10-08,,,4,0.4962,No,60,Business Development Head,Established vendor,5080.91,75.50989881733784
RFQ00295,VEN01737,Vendor 1737,Cranes,Cranes - Grade B,4781,Feet,2025-03-06,2025-04-03,2025-04-06,True,10597.18,50665103.59,12,6079812.43,56744916.02,134,Delivered to Site,Net 45 days,24,64.12,78.46,69.86,Under Evaluation,None,Partially Compliant,2025-04-16,,,15,0.0292,No,60,Regional Manager,Competitive pricing,4284.32,147.34800388393026
RFQ00296,VEN01741,Vendor 1741,Excavators,Excavators - Grade C,3364,Loads,2025-03-14,2025-03-25,2025-03-18,False,6299.67,21192077.92,28,5933781.82,27125859.74,108,Delivered to Site,Against Delivery,12,96.3,86.44,92.36,Negotiation,None,Fully Compliant,2025-03-22,,,4,0.0352,No,120,Account Manager,Partial compliance issues,5410.12,16.44233399628844
RFQ00297,VEN01987,Vendor 1987,Mild Steel,Mild Steel - Grade Premium,1986,Bags,2025-07-14,2025-08-10,2025-08-08,False,8117.07,16120493.34,0,0.0,16120493.34,173,DAP,Against Delivery,60,68.37,43.6,58.46,Rejected,High Price,Partially Compliant,,,,18,0.4283,No,120,Business Development Head,,4329.535,87.48133460059798
RFQ00298,VEN01174,Vendor 1174,Insulation Material,Insulation Material - Grade Premium,455,Feet,2024-08-29,2024-09-25,2024-09-08,False,5122.52,2330747.62,0,0.0,2330747.62,59,Delivered to Site,Cash on Delivery,0,69.69,97.26,80.72,Under Evaluation,None,Partially Compliant,2024-09-18,,,18,0.0192,No,120,Regional Manager,Fast delivery timeline,3726.55,37.46011726664073
RFQ00299,VEN01544,Vendor 1544,Pumps,Pumps - Grade B,160,MT,2024-10-06,2024-10-23,2024-10-11,False,6436.68,1029869.49,0,0.0,1029869.49,24,CIF,Progress Payment,24,68.18,56.33,63.44,Negotiation,None,Partially Compliant,2024-10-23,,,3,0.0745,No,30,Regional Manager,Premium quality offered,6998.595,-8.028968671569078
RFQ00300,VEN01350,Vendor 1350,Roofing Sheets,Roofing Sheets - Grade Premium,7563,Meters,2024-08-02,2024-08-15,2024-08-13,False,7762.48,58707652.7,5,2935382.63,61643035.33,39,Door Delivery,Net 90 days,36,63.87,85.94,72.7,Negotiation,None,Partially Compliant,2024-08-23,,,11,0.0782,No,45,Senior Manager,Premium quality offered,5080.91,52.777356812067126
RFQ00301,VEN01386,Vendor 1386,Ventilation Systems,Ventilation Systems - Grade B,204,Meters,2024-08-01,2024-08-27,2024-08-06,False,3765.61,768184.28,18,138273.17,906457.45,7,DAP,Net 45 days,6,84.2,52.2,71.4,Shortlisted,None,Fully Compliant,2024-08-09,,6.0,13,0.4556,No,45,Business Development Head,,4332.14,-13.077370537424926
RFQ00302,VEN00201,Vendor 201,Solar Panels,Solar Panels - Grade B,153,Truckloads,2025-02-27,2025-03-24,2025-03-15,False,36808.96,5631771.44,28,1576896.0,7208667.44,16,FOB,Net 60 days,36,97.33,80.84,90.73,Accepted,None,Fully Compliant,2025-03-28,,9.0,20,0.1784,No,90,Senior Manager,Premium quality offered,91700.94,-59.85977897282188
RFQ00303,VEN00020,Vendor 20,Scaffolding,Scaffolding - Grade Standard,8103,Nos,2025-11-13,2025-12-13,2025-11-25,False,6746.54,54667178.96,28,15306810.11,69973989.07,113,FCA,Bank Guarantee,24,63.79,81.42,70.84,Accepted,None,Partially Compliant,2025-12-10,,4.0,12,0.1907,No,30,Director,Meets all specifications,5843.41,15.455530246893511
RFQ00304,VEN01732,Vendor 1732,Aggregates,Aggregates - Grade A,473,Ton,2025-10-12,2025-11-11,2025-11-11,False,5973.78,2825595.88,18,508607.26,3334203.13,107,Ex-Factory,Progress Payment,6,70.27,58.49,65.56,Shortlisted,None,Partially Compliant,2025-11-24,,1.0,16,0.4405,No,60,Business Development Head,Delivery timeline tight,4608.13,29.635665660473983
RFQ00305,VEN01401,Vendor 1401,False Ceiling,False Ceiling - Grade A,329,Square Meter,2025-10-22,2025-11-09,2025-11-08,False,3131.2,1030166.3,18,185429.93,1215596.23,71,DDP,Progress Payment,6,64.5,92.25,75.6,Shortlisted,None,Partially Compliant,2025-11-10,,10.0,15,0.0652,No,60,Account Manager,Competitive pricing,5538.555,-43.46539846584534
RFQ00306,VEN01916,Vendor 1916,Escalators,Escalators - Grade Standard,682,Bags,2025-01-09,2025-01-19,2025-01-12,False,1971098.07,1344288883.09,18,241971998.96,1586260882.04,36,Delivered to Site,Net 45 days,60,50.35,96.54,68.82,Under Evaluation,None,Non-Compliant,2025-01-21,,,15,0.1123,No,60,Senior Manager,Delivery timeline tight,2867885.52,-31.26998772252248
RFQ00307,VEN01663,Vendor 1663,PVC Pipes,PVC Pipes - Grade A,436,Meters,2024-10-19,2024-10-26,2024-10-26,False,6368.31,2776584.74,12,333190.17,3109774.91,72,FOB,Net 60 days,18,97.42,99.4,98.21,Negotiation,None,Fully Compliant,2024-10-29,,,16,0.1467,No,90,Account Manager,Meets all specifications,4354.67,46.24093214870474
RFQ00308,VEN01539,Vendor 1539,Pumps,Pumps - Grade Premium,471,Quintal,2025-09-18,2025-09-25,2025-09-21,False,5842.63,2751877.92,5,137593.9,2889471.81,133,FOB,LC at Sight,60,64.47,54.58,60.52,Rejected,High Price,Partially Compliant,,,,7,0.4458,No,45,Business Development Head,,6998.595,-16.517100932401434
RFQ00309,VEN00236,Vendor 236,Copper Pipes,Copper Pipes - Grade B,5844,Square Meter,2025-06-27,2025-07-22,2025-07-02,False,2140.73,12510439.09,0,0.0,12510439.09,108,FOB,30-60-90 days,18,54.55,75.76,63.03,Negotiation,None,Non-Compliant,2025-07-08,,,10,0.0665,No,90,Senior Manager,,7467.32,-71.33201737705093
RFQ00310,VEN00875,Vendor 875,Street Lights,Street Lights - Grade A,637,Units,2025-04-29,2025-05-16,2025-05-19,True,439.61,280030.48,12,33603.66,313634.14,13,Delivered to Site,Net 60 days,24,97.42,90.45,94.63,Rejected,Late Submission,Fully Compliant,,,,6,0.2007,No,120,Business Development Head,Meets all specifications,5569.405000000001,-92.10669721451394
RFQ00311,VEN01522,Vendor 1522,Gypsum Boards,Gypsum Boards - Grade Standard,290,Feet,2025-10-09,2025-10-19,2025-10-19,False,1400.8,406232.4,5,20311.62,426544.02,13,Door Delivery,30-60-90 days,36,65.07,69.48,66.84,Rejected,Delivery Timeline,Partially Compliant,,,,7,0.0131,No,45,Senior Manager,Premium quality offered,3335.015,-57.99719041743441
RFQ00312,VEN01826,Vendor 1826,Pumps,Pumps - Grade Standard,3579,Kg,2024-08-30,2024-09-19,2024-09-16,False,7269.8,26018618.3,12,3122234.2,29140852.49,29,FOB,Cash on Delivery,18,87.04,80.96,84.61,Under Evaluation,None,Fully Compliant,2024-10-01,,,19,0.2915,No,45,Senior Manager,Partial compliance issues,6998.595,3.875134937798228
RFQ00313,VEN01152,Vendor 1152,Solar Panels,Solar Panels - Grade Premium,239,Liters,2025-12-28,2026-01-20,2026-01-20,False,142748.07,34116788.57,5,1705839.43,35822628.0,16,Ex-Works,Net 90 days,0,76.68,79.38,77.76,Negotiation,None,Partially Compliant,2026-01-26,,,7,0.0811,No,30,Account Manager,Established vendor,91700.94,55.66696480973914
RFQ00314,VEN01095,Vendor 1095,Structural Steel,Structural Steel - Grade A,823,Kg,2025-04-11,2025-05-11,2025-05-10,False,6029.7,4962443.6,0,0.0,4962443.6,56,DAP,Net 60 days,24,98.58,83.06,92.37,Negotiation,None,Fully Compliant,2025-05-24,,,6,0.2168,No,90,Account Manager,,5883.03,2.4931030438396555
RFQ00315,VEN01283,Vendor 1283,LED Lights,LED Lights - Grade Standard,918,Nos,2025-06-12,2025-07-07,2025-07-07,False,4129.21,3790611.13,18,682310.0,4472921.13,18,Ex-Factory,Net 60 days,60,59.25,77.25,66.45,Under Evaluation,None,Non-Compliant,2025-07-16,,,8,0.1943,No,30,Director,,4739.14,-12.870056592546334
RFQ00316,VEN00364,Vendor 364,HVAC Units,HVAC Units - Grade Standard,135,Sets,2024-11-20,2024-11-30,2024-11-23,False,4423470.19,597168475.84,28,167207173.24,764375649.08,10,FOB,Against Delivery,0,56.61,63.1,59.21,Rejected,Failed Pre-Qualification,Non-Compliant,,,,3,0.4585,No,30,Sales Manager,Meets all specifications,3493273.02,26.628241327670416
RFQ00317,VEN01747,Vendor 1747,Excavators,Excavators - Grade A,4111,Square Meter,2025-02-26,2025-03-15,2025-03-06,False,736.0,3025695.67,28,847194.79,3872890.46,10,Door Delivery,"Advance 20%, Balance 80%",6,75.58,65.09,71.38,Shortlisted,None,Partially Compliant,2025-03-11,,1.0,10,0.1281,No,45,Director,Established vendor,5410.12,-86.39586552608814
RFQ00318,VEN01888,Vendor 1888,Scaffolding,Scaffolding - Grade Premium,4693,Square Meter,2025-09-16,2025-09-30,2025-09-21,False,3987.55,18713560.12,0,0.0,18713560.12,18,Ex-Works,Net 60 days,48,76.52,71.99,74.71,Under Evaluation,None,Partially Compliant,2025-09-25,,,12,0.1874,No,60,Director,Premium quality offered,5843.41,-31.759879933121237
RFQ00319,VEN01877,Vendor 1877,Sanitary Ware,Sanitary Ware - Grade C,464,Cubic Meter,2025-02-13,2025-02-24,2025-02-21,False,7309.87,3391781.05,18,610520.59,4002301.64,64,Ex-Works,Net 60 days,48,67.63,92.41,77.54,Negotiation,None,Partially Compliant,2025-03-01,,,13,0.0415,No,45,Senior Manager,Price negotiable,6706.465,8.997362992276852
RFQ00320,VEN01104,Vendor 1104,Roofing Sheets,Roofing Sheets - Grade Premium,78,Units,2024-07-16,2024-08-10,2024-08-09,False,2009.97,156777.49,12,18813.3,175590.79,87,Door Delivery,Bank Guarantee,12,96.05,85.89,91.98,Accepted,None,Fully Compliant,2024-08-24,,3.0,12,0.1381,No,120,Senior Manager,,5080.91,-60.44074781879624
RFQ00321,VEN01696,Vendor 1696,Glass,Glass - Grade A,3849,MT,2024-10-29,2024-11-16,2024-11-02,False,5858.58,22549667.24,28,6313906.83,28863574.06,30,CIF,Net 90 days,6,50.62,97.47,69.36,Negotiation,None,Non-Compliant,2024-11-16,,,8,0.1409,No,45,Account Manager,Premium quality offered,5730.715,2.2312224565346517
RFQ00322,VEN00963,Vendor 963,Air Conditioners,Air Conditioners - Grade C,830,Quintal,2025-07-31,2025-08-08,2025-08-09,True,5591.36,4640828.34,5,232041.42,4872869.75,144,Door Delivery,Cash on Delivery,24,95.96,82.53,90.59,Under Evaluation,None,Fully Compliant,2025-08-17,,,8,0.0815,No,30,Regional Manager,Good technical compliance,5131.325000000001,8.965228279245592
RFQ00323,VEN01522,Vendor 1522,Granite,Granite - Grade Premium,6504,Kg,2024-09-14,2024-10-06,2024-10-05,False,232.8,1514152.08,0,0.0,1514152.08,73,CIF,Net 45 days,6,68.14,75.58,71.11,Shortlisted,None,Partially Compliant,2024-10-10,,5.0,8,0.1625,No,30,Business Development Head,Premium quality offered,280.635,-17.045272328825693
