project_id,project_name,project_type,location,client_name,contract_id,project_start_date,planned_end_date,actual_end_date,planned_duration_months,actual_duration_months,delay_months,project_status,current_phase,progress_pct,planned_budget,actual_cost,remaining_budget,budget_utilization_pct,team_size,num_vendors,num_purchase_orders,num_contracts,num_change_orders,total_milestones,achieved_milestones,open_issues,resolved_issues,risk_level,risk_score,quality_score,safety_score,stakeholder_satisfaction,resource_utilization_pct,schedule_performance_index,cost_performance_index,env_compliance_score,project_manager,sponsor,last_updated,notes,milestone_completion_pct,schedule_variance,cost_variance_pct
PROJ00305,Industrial Facility - Lucknow Phase 2,Industrial Facility,"Surat, Gujarat",Client Developers,CONT01794,2025-10-11,2027-05-04,,19,,,In Progress,Pre-Construction,13.09,4382395196.14,594088293.56,3788306902.58,13.56,137,19,248,8,7,13,1,9,20,Medium,0.1468,73.98,87.49,81.5,96.7,1.081,1.104,75.98,Priya Singh,Regional Head,2026-01-02,Minor delays expected,7.69,8.1,10.4
PROJ00306,Solar Farm - Pune Phase 3,Solar Farm,"Kolkata, West Bengal",Client Corporation,CONT00976,2025-05-17,2026-09-09,,16,,,Delayed,Foundation,46.35,376476220.16,171368376.3,205107843.87,45.52,165,7,357,7,0,18,8,8,12,High,0.8809,70.84,80.05,48.94,85.43,0.625,0.964,82.15,Neha Gupta,CEO,2026-01-03,Vendor performance issues,44.44,-37.5,-3.6
PROJ00307,Shopping Mall - Surat Phase 1,Shopping Mall,"Lucknow, Uttar Pradesh",Client Group,,2025-09-18,2027-04-11,,19,,,Mobilization,Foundation,29.27,1393723890.72,445143774.33,948580116.39,31.94,143,35,324,3,8,28,8,16,35,Medium,0.3184,87.38,84.96,78.81,84.66,0.931,1.147,98.17,Rajesh Sharma,Regional Head,2026-01-02,On track,28.57,-6.9,14.7
PROJ00308,Highway Construction - Visakhapatnam Phase 2,Highway Construction,"Visakhapatnam, Andhra Pradesh",Client Corporation,CONT00649,2025-05-19,2029-06-27,,50,,,Mobilization,Pre-Construction,29.76,8715403609.96,2711228869.51,6004174740.45,31.11,427,42,99,1,9,16,4,13,37,Very Low,0.4729,65.63,89.38,77.1,98.87,0.994,0.953,94.41,Vikram Reddy,VP - Infrastructure,2026-01-07,Resource shortage,25.0,-0.6,-4.7
PROJ00309,Power Plant - Surat Phase 1,Power Plant,"Nagpur, Maharashtra",Client Developers,CONT00934,2023-09-12,2026-03-30,2026-11-10,31,38.5,7.5,Completed,Testing & Commissioning,98.28,20112197623.42,23764315571.81,-3652117948.39,118.16,669,32,241,3,18,13,12,0,46,High,0.7628,81.45,94.58,87.54,63.59,0.853,0.933,73.11,Rajesh Sharma,Director - Projects,2026-01-06,,92.31,-14.7,-6.7
PROJ00310,Office Tower - Surat Phase 3,Office Tower,"Indore, Madhya Pradesh",Client Pvt Ltd,CONT01745,2023-08-29,2025-05-20,2025-09-27,21,25.3,4.3,Completed,Handover,93.27,4777481731.47,4957370261.5,-179888530.02,103.77,138,31,470,7,26,17,15,0,49,High,0.8819,93.47,82.76,70.7,60.17,1.032,0.708,70.79,Neha Gupta,Regional Head,2026-01-02,Stakeholder concerns,88.24,3.2,-29.2
PROJ00311,IT Park - Pune Phase 2,IT Park,"Bangalore, Karnataka",Client Infrastructure Ltd,CONT00496,2023-10-28,2025-01-20,,15,,,Delayed,Warranty,90.9,1870686695.71,1724877416.91,145809278.8,92.21,182,29,422,3,30,28,25,2,74,Critical,0.8713,75.52,80.31,33.98,91.37,0.853,1.075,77.81,Rajesh Sharma,Regional Head,2026-01-05,Weather delays,89.29,-14.7,7.5
PROJ00312,Metro Rail - Delhi NCR Phase 1,Metro Rail,"Mumbai, Maharashtra",Client Developers,,2025-02-27,2027-03-19,,25,,,On Hold,Foundation,47.15,38037612370.21,19685181001.15,18352431369.06,51.75,849,45,448,6,3,12,5,11,43,Medium,0.5719,86.94,75.39,51.42,97.4,1.007,1.078,87.38,Amit Kumar,CEO,2026-01-06,Minor delays expected,41.67,0.7,7.8
PROJ00313,Office Tower - Visakhapatnam Phase 3,Office Tower,Delhi NCR,Client Pvt Ltd,,2024-07-19,2026-03-11,,20,,,In Progress,Structural Work,74.83,4272421475.02,3224497557.61,1047923917.41,75.47,145,6,261,2,15,19,14,12,67,Low,0.5796,62.29,89.06,63.13,60.41,0.895,1.063,88.2,Priya Singh,VP - Infrastructure,2026-01-07,Minor delays expected,73.68,-10.5,6.3
PROJ00314,Solar Farm - Pune Phase 2,Solar Farm,"Jaipur, Rajasthan",Client Infrastructure Ltd,CONT00325,2023-02-03,2024-12-24,2024-11-24,23,22.0,-1.0,Closed,Testing & Commissioning,87.89,1072314969.79,1059539949.85,12775019.95,98.81,113,12,161,1,13,27,23,0,35,Low,0.1693,72.5,89.21,65.06,86.08,0.943,1.112,83.08,Rajesh Sharma,CEO,2026-01-01,Awaiting approvals,85.19,-5.7,11.2
PROJ00315,Port Development - Bangalore Phase 1,Port Development,"Lucknow, Uttar Pradesh",Client Group,CONT00211,2024-04-08,2025-06-02,2025-07-04,14,15.1,1.1,Completed,Warranty,92.32,1519450613.23,1753405058.31,-233954445.08,115.4,179,11,360,7,19,23,21,0,14,Critical,0.6599,80.59,96.43,92.77,71.74,1.015,0.861,98.95,Anita Desai,General Manager,2026-01-02,Quality issues resolved,91.3,1.5,-13.9
PROJ00316,Residential Building - Delhi NCR Phase 1,Residential Building,"Indore, Madhya Pradesh",Client Group,CONT00381,2024-01-05,2025-03-30,2025-06-20,15,17.7,2.7,Completed,Testing & Commissioning,94.85,332376849.79,342230921.07,-9854071.29,102.96,22,50,218,4,14,27,25,0,37,Critical,0.7702,79.65,73.14,62.65,71.12,0.972,0.921,95.8,Suresh Patel,Director - Projects,2026-01-06,Environmental clearance pending,92.59,-2.8,-7.9
PROJ00317,Warehouse - Ahmedabad Phase 3,Warehouse,"Indore, Madhya Pradesh",Client Developers,CONT00656,2024-11-27,2026-02-20,,15,,,Cancelled,Testing & Commissioning,21.06,335776090.33,69000131.06,266775959.26,20.55,103,42,246,4,0,11,2,14,46,Critical,0.9153,68.55,87.53,79.96,95.83,1.08,0.958,89.34,Priya Singh,Managing Director,2026-01-06,Vendor performance issues,18.18,8.0,-4.2
PROJ00318,Infrastructure - Kochi Phase 2,Infrastructure,"Nagpur, Maharashtra",Client Group,CONT01544,2024-01-29,2025-07-22,2025-07-02,18,17.3,-0.7,Completed,Warranty,96.62,667043247.25,797778193.62,-130734946.38,119.6,146,46,112,6,15,16,15,0,38,High,0.6088,71.44,65.36,64.21,88.96,1.012,0.904,86.13,Priya Singh,Director - Projects,2026-01-07,On track,93.75,1.2,-9.6
PROJ00319,Port Development - Visakhapatnam Phase 1,Port Development,Delhi NCR,Client Pvt Ltd,CONT00154,2024-07-15,2025-12-07,2026-02-08,17,19.1,2.1,Completed,Testing & Commissioning,96.99,327812697.29,337592389.26,-9779691.97,102.98,57,42,485,7,20,12,11,0,51,Critical,0.8005,85.65,73.42,79.12,70.55,0.909,0.721,86.76,Arun Mehta,VP - Infrastructure,2026-01-04,,91.67,-9.1,-27.9
PROJ00320,Warehouse - Nagpur Phase 1,Warehouse,"Nagpur, Maharashtra",Client Pvt Ltd,,2023-03-31,2024-03-25,2024-04-17,12,12.8,0.8,Completed,Testing & Commissioning,95.06,1026526591.92,1062570542.65,-36043950.74,103.51,171,38,313,6,9,29,27,0,56,Critical,0.8126,89.66,94.67,64.23,80.54,1.006,0.747,78.34,Neha Gupta,Managing Director,2026-01-05,,93.1,0.6,-25.3
PROJ00321,Power Plant - Kochi Phase 3,Power Plant,"Lucknow, Uttar Pradesh",Client Pvt Ltd,,2025-06-01,2027-02-21,,21,,,In Progress,Foundation,56.82,6286381232.97,3748150252.01,2538230980.96,59.62,663,27,185,2,21,21,11,9,16,Medium,0.142,72.94,70.27,67.58,63.91,1.012,1.096,82.68,Arun Mehta,CEO,2026-01-03,Awaiting approvals,52.38,1.2,9.6
PROJ00322,Water Treatment Plant - Bangalore Phase 3,Water Treatment Plant,"Chennai, Tamil Nadu",Client Infrastructure Ltd,CONT01063,2023-08-03,2024-08-27,,13,,,Cancelled,Testing & Commissioning,10.98,200961764.91,21078500.64,179883264.26,10.49,88,20,83,9,6,18,1,14,22,Critical,0.8202,66.79,86.71,75.05,79.81,0.893,0.991,89.11,Suresh Patel,Regional Head,2026-01-03,On track,5.56,-10.7,-0.9
PROJ00323,Infrastructure - Bangalore Phase 3,Infrastructure,"Visakhapatnam, Andhra Pradesh",Client Infrastructure Ltd,CONT00626,2024-09-05,2025-10-30,2026-01-30,14,17.1,3.1,Closed,Warranty,86.04,369483944.98,352186076.35,17297868.64,95.32,141,32,221,1,5,10,8,0,55,Very Low,0.5872,96.44,70.98,90.41,79.53,0.9,0.972,94.57,Arun Mehta,General Manager,2026-01-03,Awaiting approvals,80.0,-10.0,-2.8
PROJ00324,Hospital - Surat Phase 1,Hospital,"Indore, Madhya Pradesh",Client Corporation,CONT00205,2024-04-23,2026-10-10,,30,,,Near Completion,MEP Installation,73.58,4954069032.94,3603578121.9,1350490911.04,72.74,144,21,236,8,26,26,19,11,71,Very Low,0.5139,69.03,76.68,68.12,89.13,0.855,1.146,95.69,Rajesh Sharma,CEO,2026-01-05,Weather delays,73.08,-14.5,14.6
PROJ00325,Hotel & Resort - Mumbai Phase 1,Hotel & Resort,"Jaipur, Rajasthan",Client Developers,CONT01525,2025-07-08,2026-10-01,,15,,,Delayed,Foundation,58.96,1389722898.87,888986429.68,500736469.18,63.97,135,38,139,5,14,13,7,7,15,Critical,0.8664,71.73,79.61,69.76,77.34,0.737,1.144,93.77,Vikram Reddy,General Manager,2026-01-03,Minor delays expected,53.85,-26.3,14.4
PROJ00326,Residential Building - Kolkata Phase 3,Residential Building,"Bangalore, Karnataka",Client Developers,CONT01072,2024-05-23,2026-02-12,,21,,,Near Completion,Testing & Commissioning,94.87,659980786.07,637431520.62,22549265.44,96.58,75,23,472,10,5,19,18,0,42,Very Low,0.1266,69.17,80.06,73.11,91.41,0.975,1.142,86.82,Priya Singh,CEO,2026-01-06,Resource shortage,94.74,-2.5,14.2
PROJ00327,Highway Construction - Nagpur Phase 1,Highway Construction,"Ahmedabad, Gujarat",Client Infrastructure Ltd,CONT00596,2024-10-15,2026-12-04,,26,,,Delayed,Structural Work,37.46,4476167520.9,1693400992.68,2782766528.22,37.83,150,21,204,10,2,23,8,16,35,Critical,0.652,73.07,95.66,62.18,82.17,0.69,0.967,87.0,Anita Desai,VP - Infrastructure,2025-12-31,Stakeholder concerns,34.78,-31.0,-3.3
PROJ00328,Bridge Construction - Ahmedabad Phase 2,Bridge Construction,Delhi NCR,Client Corporation,CONT01422,2024-04-05,2028-11-10,,56,,,On Hold,Structural Work,44.05,4784550984.6,2131979931.4,2652571053.2,44.56,27,40,63,7,8,22,9,10,26,Medium,0.7268,78.46,75.58,39.71,65.04,1.018,1.043,92.89,Anita Desai,Director - Projects,2025-12-31,On track,40.91,1.8,4.3
PROJ00329,Industrial Facility - Mumbai Phase 2,Industrial Facility,"Kochi, Kerala",Client Pvt Ltd,CONT00200,2024-05-21,2027-05-06,,36,,,Delayed,Structural Work,55.93,6261557370.94,3595288567.71,2666268803.23,57.42,467,8,409,4,25,10,5,6,48,High,0.7686,89.02,69.77,65.8,92.22,0.787,0.99,72.01,Anita Desai,Regional Head,2026-01-05,Environmental clearance pending,50.0,-21.3,-1.0
PROJ00330,Infrastructure - Surat Phase 1,Infrastructure,"Hyderabad, Telangana",Client Corporation,,2025-11-17,2027-07-10,,20,,,Mobilization,Pre-Construction,3.91,669855140.66,26762560.97,643092579.69,4.0,67,20,480,9,6,14,0,11,91,Low,0.5108,80.44,95.08,71.6,92.74,1.014,0.984,92.25,Amit Kumar,VP - Infrastructure,2026-01-04,Vendor performance issues,0.0,1.4,-1.6
PROJ00331,Hotel & Resort - Chennai Phase 2,Hotel & Resort,"Lucknow, Uttar Pradesh",Client Pvt Ltd,CONT01010,2023-12-16,2025-10-06,2025-12-03,22,23.9,1.9,Closed,Handover,90.79,1645637849.77,1624313069.76,21324780.01,98.7,92,34,111,10,24,24,21,0,15,Low,0.1055,79.08,87.58,95.73,95.3,0.942,0.952,74.75,Vikram Reddy,VP - Infrastructure,2026-01-04,Weather delays,87.5,-5.8,-4.8
PROJ00332,Data Center - Surat Phase 2,Data Center,"Surat, Gujarat",Client Pvt Ltd,,2025-03-02,2027-07-20,,29,,,On Hold,Structural Work,43.78,366074664.36,171142074.28,194932590.08,46.75,188,24,251,2,8,20,8,15,77,High,0.613,74.15,88.06,53.04,83.55,0.995,1.067,94.9,Anita Desai,VP - Infrastructure,2026-01-06,On track,40.0,-0.5,6.7
PROJ00333,Residential Building - Kochi Phase 3,Residential Building,"Bangalore, Karnataka",Client Corporation,,2025-06-03,2026-12-25,,19,,,On Hold,Structural Work,39.71,1566312305.15,676458499.66,889853805.49,43.19,80,11,500,3,1,29,11,6,19,High,0.7267,72.6,67.25,54.48,85.25,0.857,0.985,73.23,Arun Mehta,CEO,2025-12-31,Quality issues resolved,37.93,-14.3,-1.5
PROJ00334,Highway Construction - Lucknow Phase 3,Highway Construction,"Surat, Gujarat",Client Corporation,,2023-04-07,2027-07-15,,52,,,Near Completion,MEP Installation,66.76,4906567076.78,3371779816.36,1534787260.42,68.72,198,10,348,1,5,15,10,8,62,Medium,0.5799,62.89,66.16,54.92,87.29,1.089,1.096,85.84,Rajesh Sharma,CEO,2026-01-04,Awaiting approvals,66.67,8.9,9.6
PROJ00335,Sports Complex - Kochi Phase 2,Sports Complex,"Surat, Gujarat",Client Group,CONT01843,2025-03-30,2027-03-20,,24,,,In Progress,Structural Work,42.83,234648472.68,96642473.06,138005999.61,41.19,152,24,101,2,4,15,6,9,59,Low,0.2153,78.04,76.58,57.84,98.72,0.869,1.065,95.6,Vikram Reddy,Director - Projects,2026-01-03,Quality issues resolved,40.0,-13.1,6.5
PROJ00336,IT Park - Mumbai Phase 3,IT Park,"Nagpur, Maharashtra",Client Pvt Ltd,CONT01919,2024-07-17,2026-05-08,,22,,,In Progress,Structural Work,70.14,735628366.38,549368968.25,186259398.12,74.68,55,18,330,6,23,12,8,11,99,Medium,0.5562,61.87,82.27,78.2,98.0,1.0,1.072,72.42,Amit Kumar,CEO,2025-12-31,Budget constraints,66.67,0.0,7.2
PROJ00337,Port Development - Nagpur Phase 1,Port Development,Delhi NCR,Client Pvt Ltd,CONT00462,2024-01-20,2025-07-13,2025-07-22,18,18.3,0.3,Closed,Handover,96.72,1869368415.36,1788216244.03,81152171.33,95.66,70,39,361,7,17,14,13,0,65,Medium,0.4418,70.54,81.88,75.48,64.62,0.874,1.073,97.11,Neha Gupta,General Manager,2026-01-02,Awaiting approvals,92.86,-12.6,7.3
PROJ00338,Solar Farm - Ahmedabad Phase 1,Solar Farm,"Hyderabad, Telangana",Client Corporation,,2025-12-17,2027-03-12,,15,,,Mobilization,Pre-Construction,7.47,1607043600.22,124351793.78,1482691806.44,7.74,23,20,466,1,9,29,2,19,41,Very Low,0.1283,73.16,74.89,60.99,75.91,1.014,1.081,72.29,Anita Desai,VP - Infrastructure,2026-01-04,Vendor performance issues,6.9,1.4,8.1
PROJ00339,Data Center - Nagpur Phase 2,Data Center,"Visakhapatnam, Andhra Pradesh",Client Corporation,CONT00620,2023-12-17,2026-11-01,,35,,,Delayed,Finishing Work,67.33,705832003.25,490042341.83,215789661.42,69.43,46,8,227,7,12,21,14,7,80,Critical,0.6839,66.11,69.8,69.04,89.0,0.836,0.957,77.05,Suresh Patel,Director - Projects,2025-12-31,,66.67,-16.4,-4.3
PROJ00340,Office Tower - Delhi NCR Phase 1,Office Tower,"Kolkata, West Bengal",Client Pvt Ltd,CONT01205,2023-11-12,2025-09-02,2025-11-06,22,24.2,2.2,Completed,Testing & Commissioning,89.19,4382477646.48,4584798287.66,-202320641.18,104.62,31,19,155,7,29,28,24,0,13,High,0.798,85.97,88.11,61.25,68.66,0.855,0.881,88.65,Vikram Reddy,CEO,2026-01-01,On track,85.71,-14.5,-11.9
PROJ00341,Infrastructure - Surat Phase 2,Infrastructure,"Nagpur, Maharashtra",Client Group,CONT01921,2023-06-02,2024-11-23,,18,,,Delayed,Warranty,93.52,408842852.15,385119047.18,23723804.96,94.2,80,13,57,5,17,18,16,0,88,Critical,0.6257,67.5,84.0,43.5,86.37,0.835,1.112,88.24,Anita Desai,CEO,2026-01-06,Resource shortage,88.89,-16.5,11.2
PROJ00342,Sports Complex - Lucknow Phase 2,Sports Complex,"Kochi, Kerala",Client Group,CONT00909,2023-06-04,2024-05-29,,12,,,Cancelled,Testing & Commissioning,24.01,1704218128.01,402100866.98,1302117261.03,23.59,34,42,90,5,4,17,4,11,43,Critical,0.9794,76.54,98.37,65.42,85.21,0.887,1.074,71.49,Arun Mehta,VP - Infrastructure,2026-01-06,,23.53,-11.3,7.4
PROJ00343,Commercial Complex - Bangalore Phase 3,Commercial Complex,"Surat, Gujarat",Client Developers,CONT00086,2024-09-27,2025-09-22,,12,,,Delayed,Handover,99.63,1705368712.02,1830570802.74,-125202090.72,107.34,158,50,72,10,12,23,22,3,51,High,0.7049,62.32,80.53,50.44,62.86,0.728,0.771,70.74,Vikram Reddy,Regional Head,2026-01-02,Weather delays,95.65,-27.2,-22.9
PROJ00344,Shopping Mall - Visakhapatnam Phase 3,Shopping Mall,"Pune, Maharashtra",Client Developers,CONT00603,2025-11-04,2027-06-27,,20,,,Mobilization,Pre-Construction,15.82,3160523456.45,482884628.61,2677638827.84,15.28,74,25,311,9,10,17,2,10,58,Medium,0.4564,88.2,78.26,70.39,82.62,1.099,1.076,92.02,Rajesh Sharma,Director - Projects,2026-01-06,Stakeholder concerns,11.76,9.9,7.6
PROJ00345,Commercial Complex - Jaipur Phase 2,Commercial Complex,"Lucknow, Uttar Pradesh",Client Infrastructure Ltd,CONT00650,2024-07-04,2025-09-27,,15,,,Delayed,Handover,98.67,1618111312.08,1750784718.91,-132673406.83,108.2,79,34,211,2,22,25,24,8,19,High,0.7335,88.73,79.35,33.19,84.21,0.735,0.805,87.08,Vikram Reddy,Regional Head,2026-01-05,Stakeholder concerns,96.0,-26.5,-19.5
PROJ00346,Airport Development - Indore Phase 2,Airport Development,"Lucknow, Uttar Pradesh",Client Infrastructure Ltd,CONT01241,2024-07-22,2028-01-03,,42,,,Delayed,Structural Work,33.54,27726167211.28,9041099391.81,18685067819.47,32.61,706,45,445,4,8,23,7,13,22,High,0.8629,60.47,69.23,40.54,60.96,0.65,0.965,85.45,Priya Singh,Director - Projects,2026-01-01,Quality issues resolved,30.43,-35.0,-3.5
PROJ00347,Wind Farm - Bangalore Phase 2,Wind Farm,"Nagpur, Maharashtra",Client Infrastructure Ltd,CONT00601,2025-05-08,2026-09-30,,17,,,Delayed,Foundation,59.82,1503622004.01,902444921.86,601177082.15,60.02,134,31,372,8,29,10,5,13,75,Critical,0.6868,74.31,69.71,37.34,83.74,0.711,1.08,81.38,Rajesh Sharma,VP - Infrastructure,2025-12-31,Budget constraints,50.0,-28.9,8.0
PROJ00348,Hospital - Nagpur Phase 3,Hospital,"Chennai, Tamil Nadu",Client Pvt Ltd,CONT01011,2024-02-08,2025-08-01,,18,,,Delayed,Warranty,98.46,4298294422.6,4291343882.53,6950540.07,99.84,102,29,213,3,18,21,20,8,45,High,0.6126,88.35,95.88,59.24,71.39,0.636,1.005,83.17,Vikram Reddy,Director - Projects,2026-01-05,Resource shortage,95.24,-36.4,0.5
PROJ00349,Port Development - Jaipur Phase 1,Port Development,"Visakhapatnam, Andhra Pradesh",Client Corporation,CONT00289,2025-06-24,2026-09-17,,15,,,On Hold,Foundation,30.82,1923727735.82,611267417.47,1312460318.35,31.78,69,5,300,1,8,13,4,8,68,High,0.5609,88.25,84.99,59.28,77.78,0.958,1.003,95.94,Anita Desai,Director - Projects,2026-01-03,,30.77,-4.2,0.3
PROJ00350,Infrastructure - Pune Phase 1,Infrastructure,"Nagpur, Maharashtra",Client Corporation,CONT00670,2025-02-20,2026-10-13,,20,,,Delayed,Structural Work,43.6,1376954804.93,577058461.52,799896343.41,41.91,196,25,69,7,10,14,6,15,14,High,0.8797,83.83,76.11,63.66,83.45,0.862,0.994,75.87,Amit Kumar,VP - Infrastructure,2025-12-31,Budget constraints,42.86,-13.8,-0.6
PROJ00351,Hotel & Resort - Kochi Phase 1,Hotel & Resort,"Nagpur, Maharashtra",Client Developers,CONT00407,2025-07-09,2027-03-01,,20,,,On Hold,Foundation,30.1,1159700606.48,342489707.08,817210899.4,29.53,65,7,264,5,2,25,7,10,39,High,0.6893,67.04,77.2,51.22,79.61,1.008,1.07,86.3,Anita Desai,Regional Head,2026-01-03,Minor delays expected,28.0,0.8,7.0
PROJ00352,Airport Development - Delhi NCR Phase 2,Airport Development,"Ahmedabad, Gujarat",Client Developers,CONT01357,2023-08-20,2026-03-07,,31,,,Near Completion,Testing & Commissioning,99.56,20641035894.78,20750485333.09,-109449438.31,100.53,331,35,480,8,30,20,19,6,17,Critical,0.8062,60.87,74.38,57.53,76.45,1.052,0.806,77.82,Vikram Reddy,CEO,2026-01-07,Resource shortage,95.0,5.2,-19.4
PROJ00353,Hotel & Resort - Nagpur Phase 1,Hotel & Resort,"Pune, Maharashtra",Client Pvt Ltd,CONT00840,2024-10-10,2026-07-02,,21,,,In Progress,Finishing Work,66.19,1900967809.11,1311012832.23,589954976.87,68.97,104,13,359,9,15,11,7,8,80,Very Low,0.5751,60.63,78.27,77.32,80.75,0.941,0.99,74.71,Rajesh Sharma,Regional Head,2026-01-01,Awaiting approvals,63.64,-5.9,-1.0
PROJ00354,Power Plant - Indore Phase 1,Power Plant,"Visakhapatnam, Andhra Pradesh",Client Group,CONT00442,2024-08-15,2026-02-06,,18,,,Near Completion,Finishing Work,97.55,27567469424.81,28739951117.28,-1172481692.47,104.25,243,15,194,5,8,18,17,6,93,High,0.669,83.17,73.66,59.54,94.48,0.869,0.826,91.1,Neha Gupta,VP - Infrastructure,2026-01-01,On track,94.44,-13.1,-17.4
PROJ00355,Residential Building - Nagpur Phase 3,Residential Building,"Jaipur, Rajasthan",Client Corporation,,2023-10-28,2025-01-20,,15,,,Delayed,Handover,96.77,1512618378.88,1456938670.13,55679708.75,96.32,137,17,101,5,13,10,9,7,46,Critical,0.713,72.89,72.78,46.25,99.73,0.818,1.14,92.88,Suresh Patel,Managing Director,2026-01-06,Vendor performance issues,90.0,-18.2,14.0
PROJ00356,Airport Development - Jaipur Phase 1,Airport Development,"Ahmedabad, Gujarat",Client Corporation,CONT00977,2025-05-28,2028-12-08,,43,,,Cancelled,Pre-Construction,4.77,12616507070.85,649711289.84,11966795781.01,5.15,701,42,177,2,9,23,1,12,17,Critical,0.8283,78.49,81.57,75.31,72.46,0.934,0.98,79.64,Arun Mehta,CEO,2026-01-01,On track,4.35,-6.6,-2.0
PROJ00357,Port Development - Nagpur Phase 1,Port Development,"Indore, Madhya Pradesh",Client Infrastructure Ltd,CONT01118,2023-03-20,2024-08-11,,17,,,Delayed,Testing & Commissioning,89.83,1077419119.73,1044081579.33,33337540.4,96.91,40,11,267,2,11,25,22,8,24,Critical,0.6382,60.41,83.2,34.86,66.83,0.841,1.047,92.47,Amit Kumar,Managing Director,2026-01-01,Quality issues resolved,88.0,-15.9,4.7
PROJ00358,Residential Building - Chennai Phase 1,Residential Building,"Ahmedabad, Gujarat",Client Group,CONT01803,2024-06-30,2026-02-20,2026-02-19,20,20.0,-0.0,Completed,Handover,98.9,651373882.55,730356853.79,-78982971.24,112.13,177,50,240,9,9,20,19,0,77,Critical,0.7416,76.32,76.56,89.87,76.65,0.88,0.717,99.31,Arun Mehta,Director - Projects,2026-01-03,Awaiting approvals,95.0,-12.0,-28.3
PROJ00359,Metro Rail - Nagpur Phase 1,Metro Rail,"Surat, Gujarat",Client Developers,CONT00126,2023-05-23,2026-03-08,,34,,,Near Completion,Testing & Commissioning,96.36,20523085059.95,18829827605.45,1693257454.5,91.75,397,22,195,7,22,28,26,8,92,Medium,0.4647,71.02,91.84,82.7,66.1,1.033,1.006,77.89,Suresh Patel,Director - Projects,2026-01-06,Budget constraints,92.86,3.3,0.6
PROJ00360,Hospital - Jaipur Phase 3,Hospital,"Indore, Madhya Pradesh",Client Developers,CONT01582,2024-06-18,2026-12-05,,30,,,Near Completion,Finishing Work,80.05,1256447248.25,1073747164.79,182700083.46,85.46,75,10,461,10,6,25,20,3,75,Very Low,0.1717,74.26,65.01,52.72,73.08,0.975,0.973,86.8,Arun Mehta,Managing Director,2026-01-01,Quality issues resolved,80.0,-2.5,-2.7
PROJ00361,Data Center - Kolkata Phase 2,Data Center,"Chennai, Tamil Nadu",Client Infrastructure Ltd,CONT00161,2024-10-25,2026-09-15,,23,,,Near Completion,MEP Installation,81.34,1164923144.42,969834296.07,195088848.35,83.25,84,48,111,9,29,29,23,11,54,Low,0.426,65.34,95.31,79.94,82.39,1.099,1.138,81.47,Neha Gupta,VP - Infrastructure,2026-01-05,On track,79.31,9.9,13.8
PROJ00362,Metro Rail - Kolkata Phase 2,Metro Rail,"Surat, Gujarat",Client Corporation,,2024-04-11,2027-12-22,,45,,,In Progress,Structural Work,57.47,5584752614.09,3180757389.18,2403995224.91,56.95,862,22,378,8,23,15,8,4,70,Low,0.122,80.86,73.86,71.88,78.94,1.069,1.1,94.22,Arun Mehta,Managing Director,2026-01-07,Weather delays,53.33,6.9,10.0
PROJ00363,Residential Building - Jaipur Phase 3,Residential Building,"Bangalore, Karnataka",Client Corporation,CONT00270,2025-07-21,2027-01-12,,18,,,In Progress,Foundation,43.3,697049449.27,325580945.84,371468503.43,46.71,91,17,385,10,2,22,9,14,56,Medium,0.1083,85.12,94.69,61.08,76.66,1.017,0.962,75.79,Amit Kumar,Regional Head,2026-01-05,Resource shortage,40.91,1.7,-3.8
PROJ00364,Industrial Facility - Bangalore Phase 2,Industrial Facility,"Mumbai, Maharashtra",Client Group,CONT01411,2023-03-08,2025-09-23,2025-08-08,31,29.5,-1.5,Completed,Warranty,96.2,3463868253.27,3594356307.77,-130488054.5,103.77,274,34,340,2,15,10,9,0,90,Critical,0.6264,97.54,71.39,63.46,68.7,0.925,0.72,91.73,Amit Kumar,VP - Infrastructure,2026-01-04,Resource shortage,90.0,-7.5,-28.0
PROJ00365,Manufacturing Unit - Lucknow Phase 1,Manufacturing Unit,"Nagpur, Maharashtra",Client Corporation,CONT00777,2024-05-29,2025-07-23,2025-10-15,14,16.8,2.8,Closed,Testing & Commissioning,93.48,618318905.52,618199051.32,119854.21,99.98,95,21,407,8,21,28,26,0,90,Low,0.1462,80.65,77.73,90.89,75.43,0.958,0.992,91.07,Priya Singh,Director - Projects,2026-01-02,,92.86,-4.2,-0.8
PROJ00366,Manufacturing Unit - Indore Phase 2,Manufacturing Unit,"Hyderabad, Telangana",Client Group,CONT01032,2024-07-05,2025-07-30,,13,,,Delayed,Testing & Commissioning,88.87,159751296.43,137332734.51,22418561.92,85.97,188,45,145,8,6,21,18,6,99,High,0.7402,69.69,84.73,56.33,94.77,0.602,1.034,80.04,Rajesh Sharma,Regional Head,2026-01-06,Budget constraints,85.71,-39.8,3.4
PROJ00367,Wind Farm - Chennai Phase 1,Wind Farm,"Kolkata, West Bengal",Client Infrastructure Ltd,,2025-11-23,2027-06-16,,19,,,Mobilization,Pre-Construction,5.94,1488814231.45,90231235.82,1398582995.63,6.06,82,21,420,6,3,18,1,17,23,Medium,0.2689,80.36,75.51,83.98,98.16,0.95,0.956,85.37,Neha Gupta,Managing Director,2026-01-03,Environmental clearance pending,5.56,-5.0,-4.4
