contract_id,vendor_id,vendor_name,contract_type,project_name,project_type,contract_value_lakhs,duration_months,start_date,planned_end_date,actual_end_date,status,percentage_complete,delivery_status,quality_rating,payment_terms,amount_paid_rs,retention_money_rs,penalty_amount_rs,penalty_reason,num_change_orders,change_order_value_lakhs,compliance_status,risk_level,signed_date,last_inspection_date,total_value_lakhs
CONT00331,VEN01797,Vendor 1797,Consultancy,Solar Farm - Phase 4,Solar Farm,2210.51,28,2024-03-29,2026-07-17,,In Progress,69.51,At Risk,Average,Net 90 days,133455392.99,13345539.3,0.0,None,1,56.89,Compliant,Low,2024-01-10,2025-12-12,2267.4
CONT00332,VEN00390,Vendor 390,Annual Maintenance Contract,Shopping Mall - Phase 5,Shopping Mall,394.6,9,2023-01-16,2023-10-13,,In Progress,95.0,Delayed,Excellent,Progress Payment,34671194.21,3467119.42,311575.48,Labor shortage,1,11.89,Minor Issues,Medium,2022-12-21,2025-11-19,406.49
CONT00333,VEN00957,Vendor 957,Construction,Road Construction - Phase 5,Road Construction,3982.22,12,2024-03-09,2025-03-04,,On Hold,32.46,Not Started,Good,"Advance 10%, Balance on completion",108072912.42,0.0,0.0,None,3,694.33,Compliant,Low,2024-02-03,,4676.55
CONT00334,VEN00561,Vendor 561,Supply,Residential Building - Phase 5,Residential Building,192.14,23,2023-12-22,2025-11-11,,In Execution,95.0,Delayed,Excellent,As per milestones,16708294.46,1670829.45,213669.24,Labor shortage,0,0.0,Compliant,Medium,2023-10-25,2025-10-23,192.14
CONT00335,VEN00909,Vendor 909,Construction,Bridge Construction - Phase 1,Bridge Construction,707.95,9,2023-10-15,2024-07-11,,Active,95.0,Delayed,Good,As per milestones,63034683.29,6303468.33,1468051.86,Labor shortage,3,86.75,Compliant,Medium,2023-08-19,2025-12-06,794.7
CONT00336,VEN01461,Vendor 1461,Time & Material,Smart City - Phase 5,Smart City,93.05,10,2025-03-14,2026-01-08,2026-07-05,Completed,100.0,Critical Delay,Average,As per milestones,8869322.57,465252.8,417158.08,Non-compliance,2,18.27,Compliant,Medium,2025-01-30,2025-12-13,111.32
CONT00337,VEN01764,Vendor 1764,Unit Rate,Water Treatment Plant - Phase 3,Water Treatment Plant,729.65,16,2024-02-12,2025-06-06,,Signed,44.13,Not Started,Excellent,Net 45 days,29631990.46,0.0,0.0,None,2,43.26,Minor Issues,Low,2023-11-16,,772.91
CONT00338,VEN00261,Vendor 261,Lump Sum,Road Construction - Phase 4,Road Construction,4187.03,22,2025-07-16,2027-05-07,,Terminated,47.29,Not Started,Good,Progress Payment,188024646.75,0.0,0.0,None,1,236.88,Compliant,Low,2025-06-23,,4423.91
CONT00339,VEN00698,Vendor 698,Consultancy,Railway Station - Phase 5,Railway Station,982.18,24,2024-01-08,2025-12-28,,In Execution,95.0,At Risk,Good,30-60-90 day terms,92542479.93,9254247.99,0.0,None,5,149.35,Compliant,Low,2023-10-10,2025-10-16,1131.53
CONT00340,VEN00949,Vendor 949,Annual Maintenance Contract,Hotel - Phase 1,Hotel,1704.7,24,2025-07-19,2027-07-09,2027-12-01,Completed,100.0,Critical Delay,Average,Progress Payment,164888285.63,8523480.04,4644042.03,Delay in completion,4,381.97,Minor Issues,Medium,2025-07-04,2025-12-13,2086.67
CONT00341,VEN01354,Vendor 1354,Service,School - Phase 5,School,65.4,10,2024-11-03,2025-08-30,,On Hold,57.71,Not Started,Good,Bank Guarantee,3254555.53,0.0,0.0,None,3,15.12,Minor Issues,Low,2024-09-05,,80.52000000000001
CONT00342,VEN00183,Vendor 183,Unit Rate,Residential Building - Phase 5,Residential Building,23188.88,32,2024-04-15,2026-12-01,,Active,63.22,At Risk,Good,Net 30 days,1465754454.34,146575445.43,0.0,None,2,5683.6,Compliant,Low,2024-02-24,2025-12-28,28872.480000000003
CONT00343,VEN00482,Vendor 482,Design & Build,Refinery - Phase 5,Refinery,386.31,18,2023-08-30,2025-02-20,,Awarded,40.46,Not Started,Good,Net 60 days,13797066.5,0.0,0.0,None,0,0.0,Compliant,Low,2023-06-30,,386.31
CONT00344,VEN01721,Vendor 1721,Design & Build,Bridge Construction - Phase 3,Bridge Construction,35152.97,32,2025-11-15,2028-07-02,2028-11-14,Completed,100.0,Critical Delay,Excellent,As per milestones,3204232682.97,175764868.43,344492119.15,Non-compliance,0,0.0,Compliant,Medium,2025-09-08,2025-11-03,35152.97
CONT00345,VEN01831,Vendor 1831,Cost Plus,Warehouse - Phase 4,Warehouse,508.95,19,2023-06-01,2024-12-22,,Awarded,34.87,Not Started,Good,Bank Guarantee,17710209.42,0.0,0.0,None,2,95.74,Minor Issues,Low,2023-04-13,,604.6899999999999
CONT00346,VEN00842,Vendor 842,Lump Sum,Stadium - Phase 3,Stadium,13.41,10,2023-11-15,2024-09-10,2025-01-06,Completed,100.0,Critical Delay,Good,As per milestones,1330050.54,67039.26,132317.18,Labor shortage,8,2.67,Compliant,Medium,2023-10-21,2025-10-26,16.08
CONT00347,VEN01823,Vendor 1823,Unit Rate,Industrial Plant - Phase 2,Industrial Plant,767.52,8,2024-03-09,2024-11-04,,Active,95.0,Delayed,Good,Net 30 days,69315512.29,6931551.23,2122291.58,Labor shortage,2,73.87,Compliant,Medium,2024-01-17,2025-11-24,841.39
CONT00348,VEN00344,Vendor 344,Construction,Refinery - Phase 5,Refinery,3907.89,30,2024-06-23,2026-12-10,,Active,65.14,On Time,Average,30-60-90 day terms,215863495.98,21586349.6,0.0,None,4,639.3,Compliant,Low,2024-05-29,2025-12-15,4547.19
CONT00349,VEN01036,Vendor 1036,Supply,Bus Terminal - Phase 3,Bus Terminal,65.42,7,2024-06-30,2025-01-26,,Active,95.0,Delayed,Average,Bank Guarantee,5731625.2,573162.52,93187.93,Non-compliance,0,0.0,Minor Issues,Medium,2024-05-16,2025-10-30,65.42
CONT00350,VEN00371,Vendor 371,Lump Sum,Bus Terminal - Phase 1,Bus Terminal,175.96,10,2025-01-27,2025-11-23,,Signed,62.69,Not Started,Good,Progress Payment,10612898.69,0.0,0.0,None,1,29.32,Compliant,Low,2024-11-29,,205.28
CONT00351,VEN00112,Vendor 112,Time & Material,Water Treatment Plant - Phase 1,Water Treatment Plant,51.76,10,2024-03-31,2025-01-25,,Signed,62.23,Not Started,Average,Letter of Credit,3100190.03,0.0,0.0,None,3,5.68,Compliant,Low,2024-01-09,,57.44
CONT00352,VEN01783,Vendor 1783,Design & Build,Residential Building - Phase 3,Residential Building,2795.28,33,2024-03-02,2026-11-17,,In Execution,71.94,On Time,Excellent,Letter of Credit,183275807.87,18327580.79,0.0,None,6,333.51,Minor Issues,Low,2024-01-13,2025-11-19,3128.79
CONT00353,VEN00554,Vendor 554,Maintenance,Smart City - Phase 1,Smart City,62.58,10,2024-07-31,2025-05-27,,On Hold,46.4,Not Started,Average,Net 60 days,2707282.15,0.0,0.0,None,0,0.0,Compliant,Low,2024-07-08,,62.58
CONT00354,VEN00025,Vendor 25,Design & Build,Road Construction - Phase 5,Road Construction,50.13,6,2024-05-07,2024-11-03,,Terminated,23.52,Not Started,Excellent,Net 45 days,1150430.59,0.0,0.0,None,2,11.31,Compliant,Low,2024-04-07,,61.440000000000005
CONT00355,VEN01451,Vendor 1451,Supply,Industrial Plant - Phase 5,Industrial Plant,69.08,12,2024-11-25,2025-11-20,2026-04-17,Completed,100.0,Critical Delay,Good,"Advance 10%, Balance on completion",6584999.68,345377.58,491143.78,Delay in completion,5,5.77,Compliant,Medium,2024-09-30,2025-11-29,74.85
CONT00356,VEN00332,Vendor 332,Supply,Water Treatment Plant - Phase 1,Water Treatment Plant,399.39,7,2024-06-28,2025-01-24,,Terminated,22.46,Not Started,Excellent,Net 90 days,6530831.29,0.0,0.0,None,0,0.0,Compliant,Low,2024-05-26,,399.39
CONT00357,VEN01108,Vendor 1108,Design & Build,Airport - Phase 5,Airport,921.35,14,2025-05-11,2026-07-05,,Active,48.84,At Risk,Average,"Advance 10%, Balance on completion",37836983.75,3783698.38,0.0,None,0,0.0,Compliant,Low,2025-04-26,2025-12-27,921.35
CONT00358,VEN01362,Vendor 1362,Design & Build,Water Treatment Plant - Phase 2,Water Treatment Plant,4618.47,30,2025-12-01,2028-05-19,,In Execution,8.26,Ahead of Schedule,Good,Progress Payment,-818704.13,-81870.41,0.0,None,3,926.64,Compliant,Low,2025-11-16,2025-11-12,5545.110000000001
CONT00359,VEN01955,Vendor 1955,Cost Plus,Railway Station - Phase 4,Railway Station,58.18,8,2024-01-26,2024-09-22,,Terminated,38.04,Not Started,Average,30-60-90 day terms,2160496.0,0.0,0.0,None,2,14.02,Compliant,Low,2023-11-14,,72.2
CONT00360,VEN01558,Vendor 1558,Maintenance,Data Center - Phase 2,Data Center,13.54,9,2024-11-12,2025-08-09,,Terminated,58.71,Not Started,Below Average,30-60-90 day terms,701677.91,0.0,0.0,None,2,3.03,Compliant,Medium,2024-10-04,,16.57
CONT00361,VEN00287,Vendor 287,Construction,Airport - Phase 1,Airport,3371.78,27,2023-10-04,2025-12-22,2026-06-12,Completed,100.0,Critical Delay,Good,"Advance 10%, Balance on completion",320329912.54,16858908.57,32816179.51,Non-compliance,0,0.0,Compliant,Medium,2023-08-07,2025-12-26,3371.78
CONT00362,VEN00831,Vendor 831,Supply,Airport - Phase 5,Airport,710.27,23,2025-02-06,2026-12-28,,On Hold,74.74,Not Started,Excellent,Net 60 days,49611055.25,0.0,0.0,None,0,0.0,Minor Issues,Low,2025-01-17,,710.27
CONT00363,VEN00498,Vendor 498,Cost Plus,Data Center - Phase 2,Data Center,66.94,7,2025-05-23,2025-12-19,,Signed,52.79,Not Started,Average,Net 45 days,2986025.91,0.0,0.0,None,0,0.0,Compliant,Low,2025-04-10,,66.94
CONT00364,VEN00130,Vendor 130,Consultancy,Hospital - Phase 3,Hospital,4928.77,33,2023-09-07,2026-05-24,,Under Review,18.46,Not Started,Average,Letter of Credit,84197587.71,0.0,0.0,None,4,997.65,Minor Issues,Low,2023-06-09,,5926.42
CONT00365,VEN00356,Vendor 356,Annual Maintenance Contract,Industrial Plant - Phase 1,Industrial Plant,78.18,5,2023-11-12,2024-04-10,,In Execution,95.0,Delayed,Good,Bank Guarantee,7395235.04,739523.5,193699.95,Delay in completion,2,8.33,Compliant,Medium,2023-08-27,2025-12-21,86.51
CONT00366,VEN00014,Vendor 14,Construction,Metro Rail - Phase 1,Metro Rail,3374.92,21,2023-08-09,2025-04-30,,Signed,58.47,Not Started,Good,30-60-90 day terms,188170757.95,0.0,0.0,None,2,253.21,Compliant,Low,2023-07-21,,3628.13
CONT00367,VEN01222,Vendor 1222,Service,Refinery - Phase 4,Refinery,179.22,15,2023-12-27,2025-03-21,,Awarded,10.32,Not Started,Good,Net 45 days,81341.74,0.0,0.0,None,7,29.1,Minor Issues,Low,2023-10-04,,208.32
CONT00368,VEN01040,Vendor 1040,Consultancy,School - Phase 2,School,27.43,5,2023-04-12,2023-09-09,,Signed,22.34,Not Started,Average,Net 30 days,598142.26,0.0,0.0,None,1,1.87,Compliant,Low,2023-01-29,,29.3
CONT00369,VEN00089,Vendor 89,Supply,IT Park - Phase 1,IT Park,1703.55,12,2023-03-21,2024-03-15,,In Execution,95.0,Delayed,Below Average,As per milestones,154259542.88,15425954.29,2240050.91,Labor shortage,0,0.0,Compliant,High,2023-01-24,2025-12-02,1703.55
CONT00370,VEN01596,Vendor 1596,Supply,Power Plant - Phase 2,Power Plant,76.4,6,2023-10-31,2024-04-28,,On Hold,15.15,Not Started,Average,Net 30 days,476886.64,0.0,0.0,None,0,0.0,Minor Issues,Low,2023-08-19,,76.4
CONT00371,VEN00365,Vendor 365,Design & Build,Solar Farm - Phase 2,Solar Farm,274.74,17,2024-06-04,2025-10-27,,On Hold,33.51,Not Started,Excellent,Bank Guarantee,9043289.14,0.0,0.0,None,0,0.0,Minor Issues,Low,2024-03-23,,274.74
CONT00372,VEN00857,Vendor 857,Service,SEZ Development - Phase 3,SEZ Development,36.56,5,2024-12-25,2025-05-24,,In Execution,95.0,Delayed,Excellent,Letter of Credit,3294752.32,329475.23,72359.47,Quality issues,4,3.08,Minor Issues,Medium,2024-11-09,2025-11-30,39.64
CONT00373,VEN00671,Vendor 671,Design & Build,Stadium - Phase 2,Stadium,3367.09,16,2025-11-28,2027-03-23,,Awarded,78.61,Not Started,Excellent,Milestone Based,239999597.17,0.0,0.0,None,2,397.01,Compliant,Low,2025-11-01,,3764.1000000000004
CONT00374,VEN00927,Vendor 927,Turnkey,Port Development - Phase 1,Port Development,111.18,19,2024-09-18,2026-04-11,,In Progress,80.68,At Risk,Good,Net 45 days,8952000.73,895200.07,0.0,None,3,6.36,Compliant,Low,2024-06-22,2025-10-18,117.54
CONT00375,VEN00050,Vendor 50,Turnkey,School - Phase 2,School,2621.44,23,2023-05-03,2025-03-23,,Active,95.0,Delayed,Excellent,As per milestones,240310001.82,24031000.18,3254453.95,Delay in completion,3,473.31,Compliant,Medium,2023-02-04,2025-12-05,3094.75
CONT00376,VEN01614,Vendor 1614,Time & Material,Industrial Plant - Phase 5,Industrial Plant,3943.04,13,2023-01-19,2024-02-13,,Under Review,72.16,Not Started,Excellent,"Advance 20%, Balance 80%",266174830.15,0.0,0.0,None,0,0.0,Compliant,Low,2022-10-25,,3943.04
CONT00377,VEN01444,Vendor 1444,Supply,Hotel - Phase 2,Hotel,40.14,11,2025-04-20,2026-03-16,,Signed,61.62,Not Started,Average,As per milestones,2389297.69,0.0,0.0,None,3,2.88,Compliant,Low,2025-03-02,,43.02
CONT00378,VEN01032,Vendor 1032,Time & Material,Hospital - Phase 3,Hospital,43.55,10,2023-03-19,2024-01-13,,In Execution,95.0,Delayed,Excellent,As per milestones,3905896.17,390589.62,119711.66,Labor shortage,2,4.56,Compliant,Medium,2023-02-24,2025-12-07,48.11
CONT00379,VEN01827,Vendor 1827,Turnkey,Industrial Plant - Phase 1,Industrial Plant,260.93,8,2025-04-29,2025-12-25,,In Progress,95.0,Delayed,Average,Milestone Based,24395715.08,2439571.51,470123.71,Quality issues,2,22.81,Non-Compliant,High,2025-02-04,2025-12-15,283.74
CONT00380,VEN00971,Vendor 971,Annual Maintenance Contract,Hospital - Phase 4,Hospital,1085.93,18,2025-08-02,2027-01-24,,Active,36.7,On Time,Average,Letter of Credit,32847634.7,3284763.47,0.0,None,1,107.34,Compliant,Low,2025-06-07,2025-10-30,1193.27
CONT00381,VEN01216,Vendor 1216,Time & Material,Refinery - Phase 5,Refinery,2781.03,21,2025-03-13,2026-12-03,,Terminated,22.02,Not Started,Good,Milestone Based,50899924.28,0.0,0.0,None,1,596.44,Compliant,Low,2025-01-21,,3377.4700000000003
CONT00382,VEN00934,Vendor 934,Service,Warehouse - Phase 2,Warehouse,2140.99,17,2025-01-28,2026-06-22,,In Progress,62.21,At Risk,Excellent,"Advance 20%, Balance 80%",120888299.17,12088829.92,0.0,None,1,224.86,Compliant,Low,2025-01-09,2025-11-21,2365.85
CONT00383,VEN00705,Vendor 705,Service,Solar Farm - Phase 4,Solar Farm,246.34,15,2025-04-04,2026-06-28,,Active,59.87,At Risk,Good,Net 60 days,12413243.44,1241324.34,0.0,None,5,13.77,Non-Compliant,Medium,2025-01-10,2025-10-28,260.11
CONT00384,VEN00679,Vendor 679,Time & Material,Refinery - Phase 3,Refinery,360.84,24,2025-02-10,2027-01-31,,Signed,33.71,Not Started,Excellent,Milestone Based,8915083.02,0.0,0.0,None,0,0.0,Compliant,Low,2024-12-18,,360.84
CONT00385,VEN00051,Vendor 51,Design & Build,Warehouse - Phase 2,Warehouse,183.23,7,2024-11-04,2025-06-02,,In Execution,95.0,Delayed,Below Average,"Advance 10%, Balance on completion",17048520.99,1704852.1,338253.78,Delay in completion,1,31.97,Compliant,High,2024-08-16,2025-11-11,215.2
CONT00386,VEN00399,Vendor 399,Turnkey,Power Plant - Phase 5,Power Plant,949.06,17,2023-09-16,2025-02-07,,In Progress,95.0,Delayed,Good,Progress Payment,86622486.45,8662248.64,1292907.6,Safety violations,1,116.24,Compliant,Medium,2023-08-05,2025-11-05,1065.3
CONT00387,VEN01519,Vendor 1519,Design & Build,Smart City - Phase 4,Smart City,82.51,9,2023-08-13,2024-05-09,,In Progress,95.0,Delayed,Average,Net 60 days,7667058.76,766705.88,245135.22,Non-compliance,2,8.02,Minor Issues,Medium,2023-05-15,2025-11-13,90.53
CONT00388,VEN00182,Vendor 182,Construction,Hospital - Phase 3,Hospital,600.23,24,2025-03-03,2027-02-21,,On Hold,23.02,Not Started,Good,Letter of Credit,10872966.78,0.0,0.0,None,4,53.7,Compliant,Low,2024-12-15,,653.9300000000001
CONT00389,VEN01146,Vendor 1146,Cost Plus,School - Phase 2,School,10.22,7,2024-04-03,2024-10-30,,Signed,18.69,Not Started,Average,"Advance 10%, Balance on completion",148405.66,0.0,0.0,None,2,1.82,Compliant,Low,2024-03-04,,12.040000000000001
CONT00390,VEN01567,Vendor 1567,Maintenance,Shopping Mall - Phase 1,Shopping Mall,425.58,21,2023-06-29,2025-03-20,,Terminated,53.96,Not Started,Good,As per milestones,19481902.59,0.0,0.0,None,1,80.26,Compliant,Low,2023-05-12,,505.84
CONT00391,VEN00334,Vendor 334,Unit Rate,Commercial Complex - Phase 2,Commercial Complex,890.49,10,2023-12-08,2024-10-03,,In Progress,95.0,Delayed,Good,30-60-90 day terms,76473966.36,7647396.64,553692.56,Safety violations,1,148.67,Compliant,Medium,2023-10-30,2025-10-12,1039.16
CONT00392,VEN00376,Vendor 376,Supply,Warehouse - Phase 2,Warehouse,885.2,15,2024-06-01,2025-08-25,,Under Review,16.71,Not Started,Average,Net 60 days,14676031.74,0.0,0.0,None,2,93.65,Compliant,Low,2024-04-04,,978.85
CONT00393,VEN01887,Vendor 1887,Service,Road Construction - Phase 2,Road Construction,29.9,6,2025-04-19,2025-10-16,,Awarded,42.23,Not Started,Excellent,Net 60 days,986716.0,0.0,0.0,None,2,2.74,Compliant,Low,2025-02-07,,32.64
CONT00394,VEN01823,Vendor 1823,Unit Rate,Office Tower - Phase 3,Office Tower,37.42,4,2024-09-09,2025-01-07,,In Progress,95.0,Delayed,Excellent,Net 90 days,3440005.87,344000.59,30893.22,Quality issues,0,0.0,Compliant,Medium,2024-08-11,2025-12-22,37.42
CONT00395,VEN00039,Vendor 39,Turnkey,SEZ Development - Phase 4,SEZ Development,19.7,11,2025-08-09,2026-07-05,,Signed,18.32,Not Started,Good,Net 45 days,301624.08,0.0,0.0,None,0,0.0,Compliant,Low,2025-07-10,,19.7
CONT00396,VEN01885,Vendor 1885,Unit Rate,Airport - Phase 5,Airport,1739.13,23,2025-10-10,2027-08-31,2027-09-07,Completed,100.0,Delayed,Average,"Advance 10%, Balance on completion",157412036.02,8695636.49,2400879.47,Safety violations,4,347.1,Compliant,Medium,2025-07-23,2025-10-20,2086.23
CONT00397,VEN00140,Vendor 140,Supply,Railway Station - Phase 5,Railway Station,3115.35,34,2024-11-11,2027-08-28,,Terminated,22.02,Not Started,Average,Net 30 days,38282551.44,0.0,0.0,None,0,0.0,Compliant,Low,2024-08-24,,3115.35
CONT00398,VEN01744,Vendor 1744,Cost Plus,Shopping Mall - Phase 3,Shopping Mall,266.61,9,2024-12-03,2025-08-30,,Under Review,78.69,Not Started,Good,Letter of Credit,20373390.81,0.0,0.0,None,0,0.0,Non-Compliant,Medium,2024-11-03,,266.61
CONT00399,VEN00955,Vendor 955,Supply,Office Tower - Phase 2,Office Tower,425.13,15,2025-09-16,2026-12-10,2027-02-01,Completed,100.0,Critical Delay,Good,Progress Payment,41306836.9,2125627.06,3353982.46,Labor shortage,3,90.74,Compliant,Medium,2025-07-11,2025-11-24,515.87
CONT00400,VEN01752,Vendor 1752,Design & Build,Airport - Phase 1,Airport,4209.75,33,2023-11-17,2026-08-03,,In Progress,69.25,At Risk,Average,30-60-90 day terms,287078957.99,28707895.8,0.0,None,1,721.83,Compliant,Low,2023-10-15,2025-11-11,4931.58
CONT00401,VEN00821,Vendor 821,Cost Plus,Stadium - Phase 1,Stadium,4569.71,17,2025-07-29,2026-12-21,,Under Review,78.26,Not Started,Good,Bank Guarantee,319076516.63,0.0,0.0,None,1,336.15,Compliant,Low,2025-05-12,,4905.86
CONT00402,VEN00571,Vendor 571,Cost Plus,SEZ Development - Phase 5,SEZ Development,780.67,18,2023-12-10,2025-06-02,,Signed,56.67,Not Started,Poor,Milestone Based,40246208.79,0.0,0.0,None,0,0.0,Compliant,Medium,2023-11-10,,780.67
CONT00403,VEN00514,Vendor 514,Turnkey,Shopping Mall - Phase 2,Shopping Mall,221.15,9,2025-08-22,2026-05-19,2026-08-24,Completed,100.0,Critical Delay,Average,Net 60 days,21268570.83,1105737.71,712513.77,Safety violations,2,9.32,Compliant,Medium,2025-06-02,2025-10-29,230.47
CONT00404,VEN01624,Vendor 1624,Turnkey,Airport - Phase 3,Airport,541.23,14,2024-01-05,2025-02-28,,In Execution,95.0,Delayed,Poor,Net 30 days,46054423.92,4605442.39,789688.17,Delay in completion,1,57.67,Compliant,High,2023-12-17,2025-12-09,598.9
CONT00405,VEN01141,Vendor 1141,Time & Material,Bus Terminal - Phase 3,Bus Terminal,1656.58,25,2025-03-08,2027-03-28,,Terminated,60.1,Not Started,Good,Net 45 days,90137784.09,0.0,0.0,None,2,244.13,Compliant,Low,2024-12-23,,1900.71
CONT00406,VEN00975,Vendor 975,Lump Sum,Bus Terminal - Phase 2,Bus Terminal,452.25,21,2023-10-27,2025-07-18,,Under Review,63.65,Not Started,Good,Net 30 days,28659521.48,0.0,0.0,None,0,0.0,Minor Issues,Low,2023-08-29,,452.25
CONT00407,VEN01658,Vendor 1658,Cost Plus,Stadium - Phase 1,Stadium,3500.61,24,2025-05-23,2027-05-13,,Awarded,34.16,Not Started,Good,"Advance 20%, Balance 80%",117604878.59,0.0,0.0,None,1,258.92,Compliant,Low,2025-04-28,,3759.53
CONT00408,VEN01865,Vendor 1865,Cost Plus,Industrial Plant - Phase 3,Industrial Plant,25.28,11,2024-02-10,2025-01-05,,Active,95.0,Delayed,Below Average,Bank Guarantee,2271480.55,227148.06,29490.47,Non-compliance,3,3.92,Non-Compliant,High,2023-12-09,2025-10-19,29.200000000000003
CONT00409,VEN00800,Vendor 800,Annual Maintenance Contract,Stadium - Phase 1,Stadium,1400.23,33,2024-10-13,2027-06-30,,Under Review,44.77,Not Started,Average,30-60-90 day terms,57935506.19,0.0,0.0,None,2,145.02,Compliant,Low,2024-07-27,,1545.25
CONT00410,VEN01302,Vendor 1302,Supply,Railway Station - Phase 5,Railway Station,33.86,7,2023-09-07,2024-04-04,,On Hold,53.72,Not Started,Poor,As per milestones,1533298.82,0.0,0.0,None,0,0.0,Compliant,Medium,2023-08-15,,33.86
CONT00411,VEN01161,Vendor 1161,Lump Sum,Shopping Mall - Phase 4,Shopping Mall,81.61,7,2023-02-09,2023-09-07,,Terminated,40.3,Not Started,Good,Net 90 days,2951017.32,0.0,0.0,None,1,11.31,Compliant,Low,2022-11-16,,92.92
CONT00412,VEN00370,Vendor 370,Construction,Data Center - Phase 5,Data Center,3307.37,18,2023-04-26,2024-10-17,,Terminated,75.6,Not Started,Good,Bank Guarantee,221837618.64,0.0,0.0,None,5,777.12,Minor Issues,Low,2023-04-04,,4084.49
CONT00413,VEN01070,Vendor 1070,Consultancy,Solar Farm - Phase 4,Solar Farm,23.54,7,2023-07-01,2024-01-27,,Awarded,32.31,Not Started,Average,Net 45 days,611316.1,0.0,0.0,None,4,1.92,Compliant,Low,2023-05-27,,25.46
CONT00414,VEN00526,Vendor 526,Time & Material,Warehouse - Phase 2,Warehouse,202.2,12,2025-10-13,2026-10-08,,On Hold,65.79,Not Started,Good,Milestone Based,12171569.03,0.0,0.0,None,1,34.13,Compliant,Low,2025-09-08,,236.32999999999998
CONT00415,VEN00559,Vendor 559,Service,Residential Building - Phase 3,Residential Building,2111.09,29,2024-12-13,2027-05-02,,Active,54.1,Ahead of Schedule,Average,Net 30 days,96070301.89,9607030.19,0.0,None,0,0.0,Compliant,Low,2024-11-20,2025-11-09,2111.09
CONT00416,VEN01837,Vendor 1837,Annual Maintenance Contract,Manufacturing Facility - Phase 1,Manufacturing Facility,855.83,10,2024-08-12,2025-06-08,2025-10-02,Completed,100.0,Critical Delay,Average,Net 45 days,81115876.25,4279147.13,8213733.91,Labor shortage,5,66.68,Minor Issues,Medium,2024-06-28,2025-10-16,922.51
CONT00417,VEN00251,Vendor 251,Annual Maintenance Contract,Power Plant - Phase 5,Power Plant,4223.37,35,2024-08-12,2027-06-28,,Awarded,25.26,Not Started,Excellent,Net 90 days,65721292.53,0.0,0.0,None,1,331.49,Compliant,Low,2024-05-27,,4554.86
CONT00418,VEN01093,Vendor 1093,Annual Maintenance Contract,Refinery - Phase 1,Refinery,481.4,13,2024-05-19,2025-06-13,,In Progress,95.0,Delayed,Average,"Advance 10%, Balance on completion",45631850.64,4563185.06,282595.02,Labor shortage,3,98.09,Compliant,Medium,2024-04-04,2025-11-29,579.49
CONT00419,VEN01132,Vendor 1132,Design & Build,Sewage Treatment Plant - Phase 3,Sewage Treatment Plant,3740.99,29,2024-08-11,2026-12-29,,Signed,37.19,Not Started,Below Average,Progress Payment,104440667.28,0.0,0.0,None,5,333.71,Minor Issues,Medium,2024-06-27,,4074.7
CONT00420,VEN00610,Vendor 610,Consultancy,Bus Terminal - Phase 2,Bus Terminal,3525.41,36,2023-08-29,2026-08-13,,Active,75.3,At Risk,Excellent,Milestone Based,248839826.46,24883982.65,0.0,None,1,752.56,Minor Issues,Low,2023-08-02,2025-12-11,4277.969999999999
CONT00421,VEN01431,Vendor 1431,Maintenance,Office Tower - Phase 1,Office Tower,641.9,23,2024-02-08,2025-12-29,,Signed,58.66,Not Started,Average,30-60-90 day terms,33538720.23,0.0,0.0,None,2,129.62,Compliant,Low,2023-12-04,,771.52
CONT00422,VEN00410,Vendor 410,Time & Material,Sewage Treatment Plant - Phase 3,Sewage Treatment Plant,199.75,13,2023-01-16,2024-02-10,,In Progress,95.0,Delayed,Average,"Advance 20%, Balance 80%",18073980.86,1807398.09,230046.69,Quality issues,3,41.98,Minor Issues,Medium,2022-12-07,2025-12-21,241.73
CONT00423,VEN00849,Vendor 849,Annual Maintenance Contract,Metro Rail - Phase 4,Metro Rail,4779.03,30,2024-09-05,2027-02-22,,Active,63.3,On Time,Below Average,Milestone Based,293015891.89,29301589.19,0.0,None,3,281.07,Compliant,Medium,2024-06-28,2025-10-16,5060.099999999999
CONT00424,VEN00533,Vendor 533,Service,Industrial Plant - Phase 3,Industrial Plant,61.05,3,2023-07-01,2023-09-29,,Signed,67.91,Not Started,Good,Net 90 days,3710267.17,0.0,0.0,None,0,0.0,Minor Issues,Low,2023-05-13,,61.05
CONT00425,VEN00590,Vendor 590,Cost Plus,Shopping Mall - Phase 4,Shopping Mall,87.07,12,2024-09-23,2025-09-18,,Terminated,60.87,Not Started,Good,Net 60 days,4944233.52,0.0,0.0,None,0,0.0,Compliant,Low,2024-08-06,,87.07
CONT00426,VEN00483,Vendor 483,Unit Rate,School - Phase 2,School,715.84,20,2025-06-16,2027-02-06,,Active,33.54,At Risk,Below Average,As per milestones,21166506.36,2116650.64,0.0,None,1,77.46,Compliant,Medium,2025-04-30,2025-12-22,793.3000000000001
CONT00427,VEN00196,Vendor 196,Lump Sum,Commercial Complex - Phase 1,Commercial Complex,311.36,17,2025-09-06,2027-01-29,,Active,19.19,At Risk,Average,"Advance 10%, Balance on completion",2931598.93,293159.89,0.0,None,3,15.7,Minor Issues,Low,2025-08-17,2025-10-18,327.06
