po_number,vendor_id,vendor_name,contract_id,item_category,item_description,quantity_ordered,quantity_delivered,unit,unit_price,total_amount,gst_rate,gst_amount,discount_pct,discount_amount,total_with_gst,final_amount,amount_paid,outstanding_amount,po_date,acknowledgment_date,expected_delivery_date,actual_delivery_date,days_to_deliver,delay_days,po_status,delivery_status,quality_rating,payment_terms,delivery_terms,incoterms,delivery_location,priority,amendment_count,compliance_status,buyer_name,approver_name,cancellation_reason,notes,delivery_completion_pct,payment_completion_pct
PO00562,VEN00424,Vendor 424,CONT00386,Safety Equipment,Safety Equipment - Grade B,72,0,Nos,4689.47,337641.61,0,0.0,8.67,29271.91,337641.61,308369.7,0.0,308369.7,2026-01-03,2026-01-06,2026-05-23,,,0,In Progress,Not Started,Not Rated,Bank Guarantee,Door Delivery,DDP,Factory - Gujarat,Medium,0,Pending,Purchase Manager,CFO,,Urgent delivery required,0.0,0.0
PO00563,VEN00970,Vendor 970,CONT01085,Sand,Sand - Grade Standard,3638,3638,Liters,9638.73,35065703.19,12,4207884.38,0.0,0.0,39273587.58,39273587.58,39273587.58,0.0,2025-03-30,2025-04-04,2025-08-29,2025-08-31,154.0,2,Delivered,Delivered,Excellent,Net 90 days,Ex-Factory,DAP,Project Site,High,3,Compliant,Contracts Manager,Director,,Quality inspection mandatory,100.0,100.0
PO00564,VEN00557,Vendor 557,CONT01058,Wiring,Wiring - Grade Premium,132,60,Bags,7601.6,1003410.61,28,280954.97,6.6,66178.03,1284365.58,1218187.54,0.0,1218187.54,2025-04-23,2025-04-26,2025-07-24,,,0,Delayed,Delayed,Not Rated,Against Delivery,Ex-Factory,EXW,Project Site,Medium,4,Pending,Contracts Manager,Vice President,,Urgent delivery required,45.45,0.0
PO00565,VEN00986,Vendor 986,,TMT Bars,TMT Bars - Grade C,7227,5385,Liters,4686.57,33869821.55,0,0.0,0.0,0.0,33869821.55,33869821.55,24020362.48,9849459.07,2024-11-21,2024-11-25,2025-05-14,2025-06-09,200.0,26,Partially Delivered,Partially Delivered,Good,"Advance 30%, Balance 70%",FCA,DAP,Site A - Mumbai,Urgent,1,Pending,Purchase Manager,Project Director,,Quality inspection mandatory,74.51,70.92
PO00566,VEN00212,Vendor 212,CONT00281,Glass,Glass - Grade Premium,15,15,Quintal,2285.25,34278.73,5,1713.94,0.0,0.0,35992.66,35992.66,35992.66,0.0,2024-10-12,2024-10-16,2024-12-15,2025-01-01,81.0,17,Delivered,Delivered,Excellent,30-60-90 days,Delivered to Site,FOB,Warehouse - Pune,Medium,1,Compliant,Purchase Manager,General Manager,,Quality inspection mandatory,100.0,100.0
PO00567,VEN01650,Vendor 1650,CONT01226,Roofing Sheets,Roofing Sheets - Grade B,343,343,MT,7977.65,2736334.17,12,328360.1,0.0,0.0,3064694.27,3064694.27,3064694.27,0.0,2024-08-23,2024-08-30,2024-11-16,2024-11-30,99.0,14,Completed,Delivered,Below Average,"Advance 20%, Balance 80%",FOB,DAP,Site A - Mumbai,Low,3,Compliant,Project Manager,Vice President,,Urgent delivery required,100.0,100.0
PO00568,VEN01367,Vendor 1367,CONT00353,Paint,Paint - Grade B,475,475,Cubic Meter,77.57,36847.57,18,6632.56,0.0,0.0,43480.13,43480.13,43480.13,0.0,2025-03-10,2025-03-13,2025-08-04,2025-08-04,147.0,0,Delivered,On Time,Average,Cash on Delivery,DDP,DDP,Site B - Delhi,Medium,3,Minor Issues,Contracts Manager,Project Director,,As per contract terms,100.0,100.0
PO00569,VEN00971,Vendor 971,CONT00351,Generators,Generators - Grade A,78,78,Kg,829458.62,64697772.5,18,11645599.05,0.0,0.0,76343371.55,76343371.55,76343371.55,0.0,2025-07-29,2025-08-03,2025-10-21,2025-10-27,90.0,6,Delivered,Delivered,Good,Progress Payment,Door Delivery,EXW,Warehouse - Pune,Medium,3,Non-Compliant,Materials Manager,Project Director,,Awaiting quality approval,100.0,100.0
PO00570,VEN00353,Vendor 353,CONT01628,Elevators,Elevators - Grade C,233,233,Feet,3976511.3,926527133.52,18,166774884.03,9.0,83367039.34,1093302017.55,1009934978.21,1009934978.21,0.0,2025-03-10,2025-03-16,2025-07-14,2025-07-15,127.0,1,Delivered,Delivered,Below Average,Net 90 days,Door Delivery,FOB,Site C - Bangalore,Low,0,Compliant,Site Engineer,Senior Manager,,As per contract terms,100.0,100.0
PO00571,VEN01104,Vendor 1104,CONT01637,Reinforcement Steel,Reinforcement Steel - Grade B,16,16,Pieces,5298.25,84772.02,0,0.0,0.0,0.0,84772.02,84772.02,84772.02,0.0,2025-10-13,2025-10-20,2026-02-06,2026-02-08,118.0,2,Completed,Delivered,Average,Net 30 days,Delivered to Site,DAP,Site C - Bangalore,Medium,0,Compliant,Purchase Manager,Senior Manager,,Quality inspection mandatory,100.0,100.0
PO00572,VEN00865,Vendor 865,CONT01120,Aggregates,Aggregates - Grade C,68,0,Ton,7775.51,528734.82,0,0.0,7.78,41160.53,528734.82,487574.3,0.0,487574.3,2025-12-26,2025-12-30,2026-01-31,,,0,Issued,Not Started,Not Rated,"Advance 30%, Balance 70%",Ex-Works,EXW,Project Site,Low,1,Pending,Procurement Head,Project Director,,Urgent delivery required,0.0,0.0
PO00573,VEN01613,Vendor 1613,CONT01984,False Ceiling,False Ceiling - Grade A,5943,3199,Bags,1676.82,9965323.88,28,2790290.69,6.8,677919.69,12755614.57,12077694.88,6272808.06,5804886.81,2025-03-13,2025-03-18,2025-06-17,2025-08-03,143.0,47,Partially Delivered,Delayed,Not Rated,Net 45 days,Ex-Works,CIF,Site A - Mumbai,Medium,0,Pending,Procurement Head,CFO,,,53.83,51.94
PO00574,VEN00891,Vendor 891,CONT00091,False Ceiling,False Ceiling - Grade A,4628,4628,Meters,3678.52,17024193.97,28,4766774.31,0.0,0.0,21790968.28,21790968.28,21790968.28,0.0,2025-01-22,2025-01-25,2025-03-15,2025-04-17,85.0,33,Delivered,Delayed,Good,Net 90 days,Delivered to Site,CIF,Main Office,High,1,Minor Issues,Materials Manager,Senior Manager,,Awaiting quality approval,100.0,100.0
PO00575,VEN01495,Vendor 1495,,Excavators,Excavators - Grade A,340,145,Units,7886.58,2681437.17,0,0.0,8.23,220653.06,2681437.17,2460784.11,0.0,2460784.11,2024-09-22,2024-09-23,2025-01-20,,,0,Delayed,Delayed,Not Rated,Progress Payment,Ex-Works,CIF,Site B - Delhi,Medium,0,Pending,Procurement Head,Project Director,,,42.65,0.0
PO00576,VEN01875,Vendor 1875,CONT00011,Copper Pipes,Copper Pipes - Grade C,4884,4884,Pieces,3843.07,18769555.91,5,938477.8,0.0,0.0,19708033.71,19708033.71,19708033.71,0.0,2024-07-27,2024-07-30,2024-10-14,2024-11-02,98.0,19,Delivered,Delivered,Good,Against Delivery,CIF,CIF,Main Office,Medium,1,Compliant,Contracts Manager,Director,,As per contract terms,100.0,100.0
PO00577,VEN00043,Vendor 43,CONT00860,Pumps,Pumps - Grade B,4461,1100,Liters,9611.66,42877611.52,12,5145313.38,0.0,0.0,48022924.9,48022924.9,0.0,48022924.9,2025-09-22,2025-09-29,2026-01-09,,,0,On Hold,On Hold,Not Rated,"Advance 20%, Balance 80%",Delivered to Site,CIF,Warehouse - Pune,Medium,2,Pending,Materials Manager,General Manager,,Vendor confirmed delivery,24.66,0.0
PO00578,VEN00697,Vendor 697,CONT00383,Electrical Cables,Electrical Cables - Grade B,543,209,Units,5178.5,2811927.37,28,787339.66,0.0,0.0,3599267.03,3599267.03,0.0,3599267.03,2025-03-26,2025-03-31,2025-07-08,,,0,Delayed,Delayed,Not Rated,Cash on Delivery,CIF,DDP,Site C - Bangalore,Medium,1,Pending,Purchase Manager,CFO,,Amendment requested,38.49,0.0
PO00579,VEN01250,Vendor 1250,CONT00127,Scaffolding,Scaffolding - Grade C,851,851,Pieces,2168.48,1845374.81,12,221444.98,0.0,0.0,2066819.79,2066819.79,2066819.79,0.0,2025-06-11,2025-06-18,2025-09-04,2025-11-03,145.0,60,Completed,Delayed,Good,Cash on Delivery,CIF,DAP,Distribution Center,High,2,Compliant,Procurement Head,General Manager,,Quality inspection mandatory,100.0,100.0
PO00580,VEN01115,Vendor 1115,,Marble,Marble - Grade B,3780,3780,Liters,339.81,1284492.03,5,64224.6,0.0,0.0,1348716.63,1348716.63,1348716.63,0.0,2025-08-22,2025-08-26,2026-01-02,2025-12-22,122.0,0,Completed,Delivered,Average,Net 45 days,Door Delivery,DAP,Factory - Gujarat,Urgent,0,Minor Issues,Procurement Head,Project Director,,,100.0,100.0
PO00581,VEN01827,Vendor 1827,,Tiles,Tiles - Grade B,1437,1437,Quintal,465.95,669565.72,5,33478.29,0.0,0.0,703044.0,703044.0,703044.0,0.0,2025-08-29,2025-09-04,2026-02-09,2026-03-29,212.0,48,Completed,Delayed,Good,"Advance 20%, Balance 80%",CIF,DAP,Project Site,Medium,3,Compliant,Purchase Manager,Project Director,,Urgent delivery required,100.0,100.0
PO00582,VEN00157,Vendor 157,CONT00146,Structural Steel,Structural Steel - Grade Standard,5891,5891,Bags,4030.32,23742621.8,18,4273671.92,0.0,0.0,28016293.72,28016293.72,28016293.72,0.0,2025-05-20,2025-05-22,2025-08-17,2025-08-19,91.0,2,Delivered,Delivered,Average,LC at Sight,DDP,CIF,Site B - Delhi,Medium,0,Compliant,Site Engineer,Vice President,,Complete delivery in one lot,100.0,100.0
PO00583,VEN00687,Vendor 687,CONT00158,Aggregates,Aggregates - Grade C,456,456,Truckloads,8312.87,3790669.83,0,0.0,4.7,178159.0,3790669.83,3612510.83,3612510.83,0.0,2024-11-15,2024-11-17,2024-12-25,2025-01-29,75.0,35,Completed,Delayed,Good,Cash on Delivery,FOB,EXW,Warehouse - Pune,Low,0,Minor Issues,Project Manager,General Manager,,Urgent delivery required,100.0,100.0
PO00584,VEN01066,Vendor 1066,CONT00740,Solar Panels,Solar Panels - Grade Premium,4568,4568,Cubic Meter,77668.08,354787782.41,5,17739389.12,0.0,0.0,372527171.53,372527171.53,372527171.53,0.0,2024-09-27,2024-09-29,2024-11-14,2024-11-26,60.0,12,Delivered,Delivered,Good,"Advance 30%, Balance 70%",FCA,FOB,Distribution Center,High,1,Compliant,Project Manager,Vice President,,,100.0,100.0
PO00585,VEN01320,Vendor 1320,CONT01273,Granite,Granite - Grade Standard,43,43,Pieces,52.23,2245.96,28,628.87,8.24,185.11,2874.82,2689.71,1913.81,775.9,2025-03-01,2025-03-04,2025-08-19,2025-09-03,186.0,15,Completed,Delivered,Good,Against Delivery,Door Delivery,EXW,Site B - Delhi,High,0,Compliant,Site Engineer,Senior Manager,,Amendment requested,100.0,71.15
PO00586,VEN01416,Vendor 1416,CONT01241,Bricks,Bricks - Grade Standard,797,797,Bags,7175.06,5718524.75,18,1029334.45,6.66,381036.33,6747859.2,6366822.87,6366822.87,0.0,2025-07-04,2025-07-11,2025-08-07,2025-10-04,92.0,58,Delivered,Delayed,Average,Against Delivery,Delivered to Site,EXW,Distribution Center,Low,0,Compliant,Contracts Manager,CFO,,,100.0,100.0
PO00587,VEN00606,Vendor 606,,Generators,Generators - Grade Standard,426,0,Bundles,595730.14,253781041.49,28,71058691.62,6.56,16637510.17,324839733.11,308202222.94,0.0,308202222.94,2025-09-23,,2026-01-06,,,0,Cancelled,Cancelled,Not Rated,Net 90 days,Ex-Works,CIF,Factory - Gujarat,Low,2,Pending,Materials Manager,Director,Project Cancelled,Awaiting quality approval,0.0,0.0
PO00588,VEN01155,Vendor 1155,CONT01921,Bricks,Bricks - Grade Premium,458,458,Feet,7661.54,3508983.95,0,0.0,0.0,0.0,3508983.95,3508983.95,3508983.95,0.0,2025-09-08,2025-09-14,2026-02-02,2026-02-14,159.0,12,Delivered,Delivered,Good,Cash on Delivery,DDP,EXW,Site C - Bangalore,Low,0,Compliant,Site Engineer,CFO,,,100.0,100.0
PO00589,VEN01551,Vendor 1551,,Electrical Cables,Electrical Cables - Grade A,308,0,Units,5537.6,1705579.8,5,85278.99,0.0,0.0,1790858.78,1790858.78,0.0,1790858.78,2025-01-22,,2025-02-28,,,0,Cancelled,Cancelled,Not Rated,Progress Payment,Ex-Works,DAP,Factory - Gujarat,Medium,0,Pending,Project Manager,Vice President,Change in Requirements,Quality inspection mandatory,0.0,0.0
PO00590,VEN01892,Vendor 1892,CONT00031,Waterproofing Membrane,Waterproofing Membrane - Grade Premium,150,150,Truckloads,3434.84,515225.95,0,0.0,0.0,0.0,515225.95,515225.95,515225.95,0.0,2025-02-19,2025-02-24,2025-08-14,2025-09-02,195.0,19,Delivered,Delivered,Good,Net 60 days,DDP,EXW,Site A - Mumbai,Low,0,Minor Issues,Materials Manager,Senior Manager,,As per contract terms,100.0,100.0
PO00591,VEN00980,Vendor 980,CONT00003,Cement,Cement - Grade Standard,65,65,Ton,4229.63,274926.27,0,0.0,0.0,0.0,274926.27,274926.27,274926.27,0.0,2025-09-09,2025-09-15,2026-01-16,2026-02-12,156.0,27,Delivered,Delivered,Average,Net 30 days,FOB,FOB,Site B - Delhi,Medium,0,Minor Issues,Materials Manager,General Manager,,Vendor confirmed delivery,100.0,100.0
PO00592,VEN00112,Vendor 112,CONT01585,Tiles,Tiles - Grade Standard,398,398,Ton,336.88,134076.77,12,16089.21,0.0,0.0,150165.98,150165.98,150165.98,0.0,2024-12-25,2024-12-27,2025-03-21,2025-05-01,127.0,41,Completed,Delayed,Good,LC at Sight,Ex-Works,FOB,Factory - Gujarat,Low,1,Compliant,Contracts Manager,Project Director,,As per contract terms,100.0,100.0
PO00593,VEN00706,Vendor 706,,Aggregates,Aggregates - Grade Premium,342,342,Kg,4033.06,1379306.91,28,386205.94,0.0,0.0,1765512.85,1765512.85,1765512.85,0.0,2025-04-12,2025-04-15,2025-05-17,2025-05-26,44.0,9,Delivered,Delivered,Excellent,Bank Guarantee,DDP,FOB,Warehouse - Pune,Low,4,Compliant,Materials Manager,Senior Manager,,Awaiting quality approval,100.0,100.0
PO00594,VEN00223,Vendor 223,CONT01899,Aggregates,Aggregates - Grade Premium,11,11,Kg,3860.31,42463.44,5,2123.17,3.9,1657.68,44586.61,42928.93,42928.93,0.0,2025-07-23,2025-07-25,2025-08-22,2025-09-16,55.0,25,Completed,Delivered,Excellent,Bank Guarantee,Door Delivery,EXW,Main Office,High,0,Compliant,Purchase Manager,Project Director,,Urgent delivery required,100.0,100.0
PO00595,VEN01487,Vendor 1487,CONT01771,Gypsum Boards,Gypsum Boards - Grade C,7408,7408,Ton,2826.38,20937812.98,0,0.0,0.0,0.0,20937812.98,20937812.98,15398574.51,5539238.47,2025-10-02,2025-10-09,2026-02-19,2026-03-08,157.0,17,Delivered,Delivered,Average,LC at Sight,Ex-Factory,EXW,Site C - Bangalore,Medium,1,Compliant,Project Manager,Senior Manager,,As per contract terms,100.0,73.54
PO00596,VEN01309,Vendor 1309,,Sanitary Ware,Sanitary Ware - Grade Standard,552,0,Truckloads,5767.95,3183906.15,12,382068.74,5.93,188819.86,3565974.89,3377155.03,923032.89,2454122.14,2024-11-03,,2025-01-15,,,0,Cancelled,Cancelled,Not Rated,30-60-90 days,Ex-Factory,CIF,Site C - Bangalore,Low,0,Pending,Purchase Manager,General Manager,Change in Requirements,,0.0,27.33
PO00597,VEN01396,Vendor 1396,CONT00837,Steel Bars,Steel Bars - Grade C,2841,335,Units,3847.16,10929782.38,0,0.0,0.0,0.0,10929782.38,10929782.38,1126777.12,9803005.26,2024-11-20,2024-11-24,2025-01-19,,,0,Delayed,Delayed,Not Rated,LC at Sight,Door Delivery,CIF,Site C - Bangalore,High,2,Pending,Site Engineer,Director,,As per contract terms,11.79,10.31
PO00598,VEN00459,Vendor 459,CONT00672,Scaffolding,Scaffolding - Grade B,21,0,Bundles,6898.8,144874.8,18,26077.46,0.0,0.0,170952.27,170952.27,21838.95,149113.32,2024-10-05,,2024-11-30,,,0,Cancelled,Cancelled,Not Rated,Progress Payment,Ex-Works,FOB,Main Office,Medium,1,Pending,Site Engineer,General Manager,Vendor Non-Performance,Partial delivery acceptable,0.0,12.77
PO00599,VEN00881,Vendor 881,CONT01110,Electrical Cables,Electrical Cables - Grade Standard,564,182,Ton,4388.19,2474941.21,28,692983.54,4.01,99150.36,3167924.75,3068774.39,0.0,3068774.39,2025-05-16,2025-05-22,2025-10-31,,,0,Delayed,Delayed,Not Rated,"Advance 20%, Balance 80%",FCA,EXW,Distribution Center,Medium,1,Pending,Procurement Head,CFO,,Urgent delivery required,32.27,0.0
PO00600,VEN01424,Vendor 1424,CONT00188,Transformers,Transformers - Grade B,2833,0,Liters,188102.79,532895190.28,18,95921134.25,0.0,0.0,628816324.53,628816324.53,0.0,628816324.53,2025-06-29,,2025-08-04,,,0,Cancelled,Cancelled,Not Rated,30-60-90 days,CIF,DAP,Factory - Gujarat,Low,1,Pending,Site Engineer,Director,Vendor Non-Performance,,0.0,0.0
PO00601,VEN01019,Vendor 1019,CONT00316,Reinforcement Steel,Reinforcement Steel - Grade C,5312,0,Bundles,4046.08,21492761.95,5,1074638.1,0.0,0.0,22567400.05,22567400.05,5251750.44,17315649.61,2024-07-19,,2024-08-18,,,0,Cancelled,Cancelled,Not Rated,"Advance 30%, Balance 70%",FOB,DDP,Distribution Center,Medium,3,Pending,Project Manager,Senior Manager,Vendor Non-Performance,Urgent delivery required,0.0,23.27
PO00602,VEN00063,Vendor 63,CONT00344,PVC Pipes,PVC Pipes - Grade Standard,882,882,Nos,3992.42,3521311.17,28,985967.13,0.0,0.0,4507278.3,4507278.3,4507278.3,0.0,2025-07-04,2025-07-11,2025-12-15,2026-01-06,186.0,22,Delivered,Delivered,Excellent,Net 90 days,Ex-Works,EXW,Warehouse - Pune,Low,2,Compliant,Project Manager,Director,,Quality inspection mandatory,100.0,100.0
PO00603,VEN00697,Vendor 697,CONT00534,Aggregates,Aggregates - Grade C,372,273,Bundles,9689.42,3604463.17,5,180223.16,0.0,0.0,3784686.33,3784686.33,2346159.92,1438526.42,2024-12-04,2024-12-09,2025-02-14,2025-02-27,85.0,13,Partially Delivered,Partially Delivered,Average,Progress Payment,FCA,FOB,Project Site,Low,5,Pending,Procurement Head,Vice President,,Vendor confirmed delivery,73.39,61.99
PO00604,VEN00053,Vendor 53,CONT01003,Windows,Windows - Grade C,666,492,Loads,2319.65,1544884.51,5,77244.23,0.0,0.0,1622128.74,1622128.74,1102223.58,519905.16,2025-03-18,2025-03-20,2025-06-22,2025-08-11,146.0,50,Partially Delivered,Delayed,Not Rated,Net 45 days,CIF,DAP,Warehouse - Pune,Medium,0,Pending,Site Engineer,Senior Manager,,Complete delivery in one lot,73.87,67.95
PO00605,VEN01625,Vendor 1625,,Generators,Generators - Grade B,2332,571,Quintal,1410337.35,3288906702.84,5,164445335.14,4.93,162106296.49,3453352037.98,3291245741.49,0.0,3291245741.49,2025-02-06,2025-02-13,2025-05-30,,,0,On Hold,On Hold,Not Rated,Bank Guarantee,Door Delivery,FOB,Main Office,High,1,Pending,Materials Manager,General Manager,,As per contract terms,24.49,0.0
PO00606,VEN01428,Vendor 1428,CONT01644,TMT Bars,TMT Bars - Grade C,2449,556,Feet,3993.95,9781175.29,0,0.0,0.0,0.0,9781175.29,9781175.29,0.0,9781175.29,2025-09-04,2025-09-09,2026-02-15,,,0,On Hold,On Hold,Not Rated,Net 30 days,DAP,DDP,Site C - Bangalore,Medium,2,Pending,Site Engineer,CFO,,Vendor confirmed delivery,22.7,0.0
PO00607,VEN01142,Vendor 1142,CONT01658,Ventilation Systems,Ventilation Systems - Grade Premium,9780,0,Units,4477.79,43792832.65,12,5255139.92,3.11,1360096.99,49047972.56,47687875.57,0.0,47687875.57,2024-10-03,,2025-03-19,,,0,Cancelled,Cancelled,Not Rated,Progress Payment,FCA,DDP,Project Site,Low,0,Pending,Project Manager,CFO,Change in Requirements,Complete delivery in one lot,0.0,0.0
PO00608,VEN00365,Vendor 365,CONT00624,Lighting Fixtures,Lighting Fixtures - Grade A,454,0,MT,1643.84,746302.03,12,89556.24,0.0,0.0,835858.28,835858.28,105506.7,730351.58,2025-11-27,2025-12-04,2026-01-06,,,0,In Progress,In Transit,Not Rated,30-60-90 days,DDP,FOB,Site B - Delhi,Low,3,Pending,Procurement Head,CFO,,Partial delivery acceptable,0.0,12.62
PO00609,VEN00012,Vendor 12,CONT00985,Concrete,Concrete - Grade Standard,424,424,Quintal,2561.16,1085931.24,28,304060.75,0.0,0.0,1389991.98,1389991.98,1389991.98,0.0,2025-03-22,2025-03-24,2025-07-07,2025-09-05,167.0,60,Completed,Delayed,Average,Cash on Delivery,Ex-Factory,CIF,Distribution Center,Low,3,Compliant,Project Manager,Project Director,,Complete delivery in one lot,100.0,100.0
PO00610,VEN01318,Vendor 1318,CONT01530,Cement,Cement - Grade B,878,878,Bags,4396.29,3859942.83,5,192997.14,8.46,326621.92,4052939.97,3726318.04,3726318.04,0.0,2025-06-06,2025-06-12,2025-07-23,2025-07-25,49.0,2,Delivered,Delivered,Excellent,Net 45 days,Ex-Works,CIF,Site B - Delhi,Medium,3,Compliant,Procurement Head,Senior Manager,,Urgent delivery required,100.0,100.0
PO00611,VEN01814,Vendor 1814,,Aluminum,Aluminum - Grade Premium,1835,0,Meters,1734.09,3182046.87,18,572768.44,0.0,0.0,3754815.3,3754815.3,1051236.87,2703578.43,2025-12-13,2025-12-16,2026-05-28,,,0,In Progress,Not Started,Not Rated,Net 45 days,Ex-Factory,CIF,Main Office,Urgent,1,Pending,Materials Manager,Senior Manager,,Amendment requested,0.0,28.0
PO00612,VEN00278,Vendor 278,CONT01767,Insulation Material,Insulation Material - Grade A,1369,441,Feet,3985.71,5456431.65,28,1527800.86,7.75,422672.26,6984232.51,6561560.25,0.0,6561560.25,2025-05-05,2025-05-12,2025-06-30,,,0,Delayed,Delayed,Not Rated,Net 60 days,CIF,DAP,Site C - Bangalore,Medium,0,Pending,Contracts Manager,Senior Manager,,Urgent delivery required,32.21,0.0
PO00613,VEN00668,Vendor 668,,Mild Steel,Mild Steel - Grade Standard,414,414,Quintal,6606.75,2735192.97,28,765854.03,0.0,0.0,3501047.01,3501047.01,3501047.01,0.0,2024-10-26,2024-10-28,2025-02-16,2025-04-12,168.0,55,Completed,Delayed,Good,Net 90 days,Ex-Works,DDP,Main Office,Medium,2,Compliant,Site Engineer,Vice President,,Quality inspection mandatory,100.0,100.0
PO00614,VEN01002,Vendor 1002,CONT00949,Concrete Mixers,Concrete Mixers - Grade Premium,182,120,MT,8667.79,1577537.49,28,441710.5,8.2,129349.36,2019247.99,1889898.63,1043422.1,846476.53,2025-01-31,2025-02-01,2025-05-07,2025-05-15,104.0,8,Partially Delivered,Partially Delivered,Average,30-60-90 days,Ex-Factory,FOB,Distribution Center,Medium,0,Pending,Purchase Manager,General Manager,,,65.93,55.21
PO00615,VEN01866,Vendor 1866,CONT00231,Granite,Granite - Grade Premium,9573,9573,Pieces,62.64,599607.43,0,0.0,0.0,0.0,599607.43,599607.43,599607.43,0.0,2025-08-26,2025-08-31,2025-11-02,2025-10-24,59.0,0,Completed,Delivered,Good,Net 60 days,FOB,FOB,Distribution Center,Medium,1,Compliant,Contracts Manager,Project Director,,Partial delivery acceptable,100.0,100.0
PO00616,VEN01420,Vendor 1420,CONT01444,Generators,Generators - Grade Standard,3610,1653,Ton,578016.58,2086639870.95,12,250396784.51,0.0,0.0,2337036655.46,2337036655.46,870306383.79,1466730271.68,2025-11-26,2025-11-28,2026-02-15,2026-04-14,139.0,58,Partially Delivered,Delayed,Not Rated,"Advance 30%, Balance 70%",CIF,DAP,Site B - Delhi,Medium,2,Pending,Purchase Manager,Senior Manager,,Urgent delivery required,45.79,37.24
PO00617,VEN01596,Vendor 1596,,Insulation Material,Insulation Material - Grade B,85,33,Bags,2844.12,241750.49,28,67690.14,0.0,0.0,309440.63,309440.63,101164.34,208276.29,2025-06-17,2025-06-18,2025-11-16,2025-11-01,137.0,0,Partially Delivered,Partially Delivered,Not Rated,LC at Sight,Ex-Factory,FOB,Site A - Mumbai,High,1,Pending,Site Engineer,General Manager,,As per contract terms,38.82,32.69
PO00618,VEN01499,Vendor 1499,,Granite,Granite - Grade B,3868,3868,Sets,101.82,393857.79,0,0.0,0.0,0.0,393857.79,393857.79,393857.79,0.0,2025-08-17,2025-08-19,2025-09-29,2025-09-27,41.0,0,Completed,Delivered,Excellent,Net 60 days,FOB,FOB,Distribution Center,Low,0,Minor Issues,Contracts Manager,CFO,,Partial delivery acceptable,100.0,100.0
PO00619,VEN01896,Vendor 1896,CONT01495,Granite,Granite - Grade A,598,0,Liters,254.9,152432.87,12,18291.94,2.83,4312.38,170724.81,166412.43,0.0,166412.43,2025-12-24,2025-12-30,2026-03-09,,,0,Acknowledged,Not Started,Not Rated,Net 60 days,CIF,FOB,Project Site,Medium,2,Pending,Project Manager,Senior Manager,,Urgent delivery required,0.0,0.0
PO00620,VEN01181,Vendor 1181,CONT00276,Mild Steel,Mild Steel - Grade Standard,292,292,Meters,8412.5,2456448.84,0,0.0,7.89,193761.39,2456448.84,2262687.44,2262687.44,0.0,2025-01-13,2025-01-20,2025-05-20,2025-06-01,139.0,12,Delivered,Delivered,Average,30-60-90 days,FCA,CIF,Distribution Center,Medium,1,Compliant,Procurement Head,General Manager,,Complete delivery in one lot,100.0,100.0
PO00621,VEN00391,Vendor 391,CONT00736,Waterproofing Membrane,Waterproofing Membrane - Grade C,287,133,MT,8892.21,2552065.06,5,127603.25,0.0,0.0,2679668.31,2679668.31,0.0,2679668.31,2025-04-16,2025-04-21,2025-06-04,,,0,Delayed,Delayed,Not Rated,LC at Sight,CIF,DDP,Site A - Mumbai,High,1,Pending,Project Manager,CFO,,Amendment requested,46.34,0.0
PO00622,VEN01473,Vendor 1473,CONT00175,Ventilation Systems,Ventilation Systems - Grade Premium,111,45,Bags,3262.41,362127.3,5,18106.37,7.48,27071.15,380233.67,353162.52,115021.98,238140.54,2025-09-19,2025-09-23,2026-01-14,2026-02-04,138.0,21,Partially Delivered,Partially Delivered,Good,Net 90 days,FOB,FOB,Distribution Center,Low,0,Pending,Project Manager,Vice President,,Vendor confirmed delivery,40.54,32.57
PO00623,VEN00867,Vendor 867,CONT00632,Lighting Fixtures,Lighting Fixtures - Grade A,802,802,Bags,9463.12,7589425.87,12,910731.1,0.0,0.0,8500156.97,8500156.97,8500156.97,0.0,2024-10-28,2024-11-04,2025-01-10,2025-01-27,91.0,17,Delivered,Delivered,Good,Net 30 days,CIF,FOB,Site A - Mumbai,High,2,Minor Issues,Site Engineer,General Manager,,Awaiting quality approval,100.0,100.0
PO00624,VEN01135,Vendor 1135,CONT00921,HVAC Units,HVAC Units - Grade C,21,21,MT,4155512.75,87265767.8,12,10471892.14,0.0,0.0,97737659.93,97737659.93,97737659.93,0.0,2024-07-26,2024-07-27,2024-09-18,2024-09-06,42.0,0,Delivered,On Time,Below Average,Net 45 days,FCA,FOB,Site A - Mumbai,High,0,Compliant,Project Manager,Project Director,,Partial delivery acceptable,100.0,100.0
PO00625,VEN00681,Vendor 681,,Bricks,Bricks - Grade C,988,386,Liters,1230.64,1215870.33,5,60793.52,0.0,0.0,1276663.85,1276663.85,441508.77,835155.08,2024-11-22,2024-11-25,2025-02-04,2025-03-29,127.0,53,Partially Delivered,Delayed,Not Rated,Against Delivery,FCA,DAP,Site A - Mumbai,Medium,1,Pending,Project Manager,General Manager,,Vendor confirmed delivery,39.07,34.58
PO00626,VEN00408,Vendor 408,CONT01646,Marble,Marble - Grade Standard,921,921,Units,420.44,387222.37,0,0.0,0.0,0.0,387222.37,387222.37,365907.99,21314.38,2024-11-29,2024-12-03,2025-04-19,2025-05-04,156.0,15,Delivered,Delivered,Average,Cash on Delivery,Ex-Factory,FOB,Site A - Mumbai,Urgent,1,Minor Issues,Procurement Head,CFO,,Quality inspection mandatory,100.0,94.5
